Donor	Approach	ModelID	CompoundsBeforeGapfill	CompoundsAfterGapfill	BlockedReactions	TotalReactions	BlockedReactionPercent	GapfillAddedCompounds	GapfillDeltaValid	GapfillAddedFraction	SourceAnomaly	Completeness	Contamination	Species	PaperQuality
Donor 1	Reference-guided	Alistipes_finegoldii_model (v1)	937.0	1001.0	370.0	901.0	41.06548279689235	64.0	True	0.06393606393606394					
Donor 1	MAG-guided	bin.167	695.0	766.0	269.0	644.0	41.77018633540372	71.0	True	0.0926892950391645		100.0	0.0	Methanobrevibacter_A smithii	Paper high
Donor 1	Reference-guided	GCF_000786575.1.fbamodel (v1)  alistipes inops	888.0	937.0	371.0	833.0	44.537815126050425	49.0	True	0.052294557097118465					
Donor 1	MAG-guided	bin.179	849.0	890.0	322.0	805.0	40.0	41.0	True	0.046067415730337076		100.0	0.81	Collinsella sp900544645	Paper high
Donor 1	Reference-guided	GCF_015549455.1.fbamodel (v1) Alistipes_putredinis	858.0	901.0	314.0	810.0	38.76543209876544	43.0	True	0.04772475027746948					
Donor 1	MAG-guided	bin.151	941.0	976.0	386.0	887.0	43.51747463359639	35.0	True	0.035860655737704916		99.98	1.5	Phascolarctobacterium faecium	Paper high
Donor 1	Reference-guided	GCF_008416365.1.fbamodel (v1) Alistipes_shahii	938.0	1005.0	373.0	915.0	40.76502732240437	67.0	True	0.06666666666666667					
Donor 1	MAG-guided	bin.120	888.0	942.0	344.0	875.0	39.31428571428571	54.0	True	0.05732484076433121		99.89	0.0	Faecalibacterium prausnitzii_C	Paper high
Donor 1	Reference-guided	GCF_008572315.1.fbamodel (v1) Bacteroides_cellulosilyticus	1104.0	1142.0	483.0	1057.0	45.6953642384106	38.0	True	0.03327495621716287					
Donor 1	MAG-guided	bin.68	1094.0	1125.0	414.0	962.0	43.03534303534304	31.0	True	0.027555555555555555		99.62	0.38	Parabacteroides merdae	Paper high
Donor 1	Reference-guided	GCF_008572125.1.fbamodel (v1) Bacteroides_dorei	1133.0	1153.0	443.0	1121.0	39.51828724353256	20.0	True	0.017346053772766695					
Donor 1	MAG-guided	bin.149	847.0	895.0	409.0	817.0	50.06119951040392	48.0	True	0.053631284916201116		99.52	0.0	Tidjanibacter inops_A	Paper high
