Representative	Members	MinANI	MinShorterAlignmentFraction
2012990006_____JC3AJCVIAssemblies_1106445189670	1	95	85
2013338001_____MeugFOFF_C1474	1	95	85
2013338001_____MeugFOFF_C1475	1	95	85
2013338001_____MeugFOFF_C2873	1	95	85
2013338001_____MeugFOFF_C2874	1	95	85
2013338001_____MeugFOFF_C3211	1	95	85
2013338001_____MeugFOFF_C3227	1	95	85
2013338001_____MeugFOFF_C3886	1	95	85
2013338001_____MeugFOFF_C4026	1	95	85
2013338001_____MeugFOFF_C4295	1	95	85
2013338001_____MeugFOFF_C4795	1	95	85
2013338001_____MeugFOFF_C5216	1	95	85
2013338002_____MeugFWYF_C6159	1	95	85
2013338002_____MeugFWYF_C6321	1	95	85
2013843001_____PLMO_C1010	1	95	85
2013843001_____PLMO_C1011	1	95	85
2013843001_____PLMO_C1280	1	95	85
2013843001_____PLMO_C1410	1	95	85
2013843001_____PLMO_C1550	1	95	85
2013843001_____PLMO_C2323	1	95	85
2013843001_____PLMO_C2429	1	95	85
2013843001_____PLMO_C243	1	95	85
2013843001_____PLMO_C2782	1	95	85
2013843001_____PLMO_C312	1	95	85
2013843001_____PLMO_C42	1	95	85
2013843001_____PLMO_C457	1	95	85
2013843002_____DCKB1_C1454	1	95	85
2013843002_____DCKB1_C2382	1	95	85
2013843002_____DCKB1_C2547	1	95	85
2013843002_____DCKB1_C3067	1	95	85
2013843002_____DCKB1_C3122	1	95	85
2013843002_____DCKB1_C717	1	95	85
2013843003_____YNP4_C4539	1	95	85
2013843003_____YNP4_C4540	1	95	85
2013954001_____YNP14_C4148	1	95	85
2013954001_____YNP14_C558	1	95	85
2014031003_____YNP3_C2415	1	95	85
2014031003_____YNP3_C2743	1	95	85
2014031003_____YNP3_C3059	1	95	85
2014031003_____YNP3_C3265	1	95	85
UHGV-0000346	1	95	85
UHGV-0001702	1	95	85
UHGV-0001715	1	95	85
UHGV-0018530	1	95	85
UHGV-0018535	1	95	85
UHGV-0215553	1	95	85
