pubseedid	2 - complete comparative genomics; 1 - certain comparative genomics; 0 - no comparative genomics	strain	species	genus	family	order	class	phylum	kingdom	host	ncbi taxonomy id	annotation version id	gcf id	img genome id	strain/species reference	reference category	ecotype	specific ecosystem	cultured	diseases	ecosystem	ecosystem category	ecosystem subtype	ecosystem type	gram staining	oxygen requirement	metabolism	motility	sample body subsite	genome size   * assembled	gene count   * assembled	gc count   * assembled	gc   * assembled	cds count   * assembled	cds %   * assembled	genome link	file	sample body site	refseq id	habitat	cell shape	id	summary_rank
Abiotrophia defectiva ATCC 49176 (592010.4)	2.0	Abiotrophia defectiva ATCC 49176	Abiotrophia defectiva	Abiotrophia	Aerococcaceae	Lactobacillales	Bacilli	Firmicutes	Bacteria	Human	592010.0	592010.4	GCF_000160075.2	2562617177.0	PMID:20203603; PMID:24861948	AGORA 1.03	0.0	0.0	Yes	0.0	Host-associated	Human	Blood	Circulatory system	Gram+	Facultative anaerobe	0.0	Nonmotile	0.0	2041839.0	2009.0	959280.0	47.0	1950.0	97.06	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/160/075/GCF_000160075.2_ASM16007v2	Abiotrophia_defectiva.json					Abiotrophia_defectiva	species
Acaricomes phytoseiuli DSM 14247 (1120917.3)	1.0	Acaricomes phytoseiuli DSM 14247	Acaricomes phytoseiuli	Acaricomes	Micrococcaceae	Micrococcales	Actinomycetia	Actinobacteria	Bacteria	Human	1120917.0	1120917.3	GCF_000376245.1	2517572146.0	PMID:31275260	Literature research	0.0	0.0	Yes	0.0	Host-associated	Unclassified	Unclassified	Unclassified	Gram+	Aerobe	0.0	Nonmotile	0.0	2419519.0	2387.0	1506904.0	62.0	2326.0	97.44	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/376/245/GCF_000376245.1_ASM37624v1	Acaricomes_phytoseiuli.json	0.0				Acaricomes_phytoseiuli	species
	0.0	Acaryochloris marina MBIC11017	Acaryochloris marina	Acaryochloris	Acaryochloridaceae	Synechococcales	unclassified Cyanobacteria	Cyanobacteria	Bacteria	Human	329726.0		GCF_000018105.1	641228474.0	PMID:31092280	DAR genome selection	0.0	0.0	Yes	0.0	Host-associated	Animal	Unclassified	Unclassified	Gram-	Aerobe	0.0	Nonmotile	0.0	8361599.0	8488.0	3926263.0	47.0	8409.0	99.07	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/018/105/GCF_000018105.1_ASM1810v1	Acaryochloris_marina.json	0.0	GCF_000018105.1			Acaryochloris_marina	species
	0.0	Acetanaerobacterium elongatum	Acetanaerobacterium elongatum	Acetanaerobacterium	Oscillospiraceae	Eubacteriales	Clostridia	Firmicutes	Bacteria	Human	258515.0		GCF_900103835.1	2667527408.0	https://www.biorxiv.org/content/10.1101/691030v1	Literature research	0.0	0.0	Yes	0.0	0	0	0	0	Gram+	Anaerobe	0.0	Motile	0.0	2916215.0	2842.0	1429234.0	49.0	2773.0	97.57	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/900/103/835/GCF_900103835.1_IMG-taxon_2667527408_annotated_assembly	Acetanaerobacterium_elongatum.json	0.0		0.0		Acetanaerobacterium_elongatum	species
	0.0	Acetatifactor muris	Acetatifactor muris	Acetatifactor	Lachnospiraceae	Eubacteriales	Clostridia	Firmicutes	Bacteria	Mouse	879566.0		GCF_900248245.1	2831971958.0	PMID:27670113	Literature research	0.0	0.0	Yes	0.0	Host-associated	Unclassified	Unclassified	Unclassified	Gram+	Anaerobe	0.0	Nonmotile	0.0	6013646.0	6002.0	2868509.0	48.0	5901.0	98.32	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/900/248/245/GCF_900248245.1_Amuris69	Acetatifactor_muris.json	0.0		0.0		Acetatifactor_muris	species
Acetivibrio cellulolyticus CD2 (509191.4)	1.0	Acetivibrio cellulolyticus CD2	Acetivibrio cellulolyticus	Acetivibrio	Oscillospiraceae	Eubacteriales	Clostridia	Firmicutes	Bacteria	Human	509191.0	509191.4	GCF_000179595.2	2510461053.0	https://www.biorxiv.org/content/10.1101/691030v1	Literature research	0.0	0.0	Yes	0.0	Engineered	Wastewater	Unclassified	Unclassified	Gram+	Anaerobe		Motile	0.0	6156735.0	5163.0	2184827.0	36.0	5094.0	98.66	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/179/595/GCF_000179595.2_ASM17959v2	Acetivibrio_cellulolyticus.json	0.0				Acetivibrio_cellulolyticus	species
Clostridium clariflavum DSM 19732 (720554.3)	2.0	Acetivibrio clariflavus DSM 19732	Acetivibrio clariflavus	Acetivibrio	Oscillospiraceae	Eubacteriales	Clostridia	Firmicutes	Bacteria	Human	720554.0	720554.3	GCF_000237085.1	2507262051.0	PMID:20203603; PMID:24861948	AGORA 1.03	0.0	0.0	Yes	0.0	Engineered	Wastewater	Unclassified	Unclassified	Gram+	Anaerobe		Nonmotile	0.0	4897678.0	4229.0	1749312.0	36.0	4131.0	97.68	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/237/085/GCF_000237085.1_ASM23708v1	Acetivibrio_clariflavus.json	0.0				Acetivibrio_clariflavus	species
	0.0	Acetivibrio ethanolgignens	Acetivibrio ethanolgignens	Acetivibrio	Oscillospiraceae	Eubacteriales	Clostridia	Firmicutes	Bacteria	Mouse	290052.0		GCF_001461035.1	2724679012.0	Personal communication, Dr. Jan Krumsiek	Personal communication	0.0	0.0	Yes	0.0	0	0	0	0	Gram+	Anaerobe	0.0	Motile	0.0	3634069.0	3697.0	1490506.0	41.0	3616.0	97.81	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/461/035/GCF_001461035.1_ASM146103v1	Acetivibrio_ethanolgignens.json	0.0	NZ_LNAM01000001	0.0	0.0	Acetivibrio_ethanolgignens	species
	0.0		Acetivibrio thermocellus	Acetivibrio	Oscillospiraceae	Eubacteriales	Clostridia	Firmicutes	Bacteria	Mouse					Personal communication, Dr. Jan Krumsiek	Personal communication	0.0	0.0	Yes	0.0					Gram+	Anaerobe			0.0				39.0				Acetivibrio_thermocellus.json	0.0				Acetivibrio_thermocellus	species
Clostridium sticklandii DSM 519 (499177.3)	2.0	Acetoanaerobium sticklandii DSM 519	Acetoanaerobium sticklandii	Acetoanaerobium	Peptostreptococcaceae	Eubacteriales	Clostridia	Firmicutes	Bacteria	Human	499177.0	499177.3	GCF_000196455.1		PMID:20203603; PMID:24861948	AGORA 1.03	0.0	0.0							Gram+	Anaerobe	0.0	Motile	0.0							ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/196/455/GCF_000196455.1_ASM19645v1	Acetoanaerobium_sticklandii.json	0.0		0.0	0.0	Acetoanaerobium_sticklandii	species
