seq_name	n_genes_with_taxonomy	agreement	taxid	lineage
vB_Eco_SLUR29|NC_054895.1	70	0.8257	17982	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;Drexlerviridae
PARMAL1|OQ376858.1	24	0.8479	2156	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;Autographiviridae
vB_Eco_mar002J2|LR027385.1	72	0.8269	17982	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;Drexlerviridae
HP1|NC_001697.1	34	1.0000	1246	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
vB_Vpa_sm033|OV032902.1	57	1.0000	1246	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
vB_Eco_mar003J3|LR027389.1	142	0.9066	9677	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;Demerecviridae
vB_EcoS_swan01|LT841304.1	70	0.8492	17982	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;Drexlerviridae
KUW1|OQ376857.1	31	0.8059	2156	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;Autographiviridae
DSS3_PM1|MN602267.1	45	0.5422	10297	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;Naomviridae
vB_Eco_mar001J1|LR027388.1	72	0.8250	17982	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;Drexlerviridae
vB_Eco_mar005P1|LR027390.1	241	0.9583	3292	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;Straboviridae
vB_VpaS_sm032|OV032860.1	55	1.0000	1246	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
phix174|NC_001422.1	6	1.0000	13950	Viruses;Monodnaviria;Sangervirae;Phixviricota;Malgrandaviricetes;Petitvirales;Microviridae
S-RSM4|FM207411.1	202	0.9092	11688	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;Kyanoviridae
CDMH1|NC_024144.1	47	1.0000	1246	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
