genome,completeness,contamination
binette__001.fna,99.99,0.02
binette__002.fna,99.98,0.31
binette__003.fna,100.0,0.49
binette__004.fna,99.79,0.53
binette__005.fna,99.47,0.19
binette__006.fna,99.94,0.79
binette__007.fna,99.5,0.45
binette__008.fna,98.69,0.55
binette__009.fna,98.68,0.29
binette__011.fna,97.85,3.87
binette__012.fna,100.0,0.04
binette__013.fna,87.33,0.21
binette__014.fna,99.58,7.36
binette__015.fna,78.95,0.29
binette__017.fna,69.48,1.49
binette__018.fna,72.13,3.33
binette__019.fna,59.42,0.0
binette__021.fna,100.0,0.06
binette__022.fna,100.0,0.14
binette__023.fna,99.91,0.12
binette__024.fna,99.93,0.15
binette__025.fna,99.97,0.28
binette__026.fna,99.98,0.21
metabat2-mock1__003.fna,99.92,0.44
metabat2-mock1__004.fna,99.71,7.18
metabat2-mock1__005.fna,99.69,0.09
metabat2-mock1__006.fna,88.65,0.01
metabat2-mock1__007.fna,96.63,0.22
metabat2-mock1__009.fna,96.21,0.55
metabat2-mock1__011.fna,68.79,1.7
metabat2-mock1__012.fna,99.46,0.19
metabat2-mock1__017.fna,99.7,0.75
metabat2-mock1__018.fna,97.42,3.87
metabat2-mock1__019.fna,96.92,0.02
metabat2-mock1__020.fna,99.98,0.35
metabat2-mock1__023.fna,98.88,0.44
metabat2-mock1__024.fna,98.98,0.37
metabat2-mock1__025.fna,100.0,0.22
metabat2-mock1__026.fna,99.98,0.21
metabat2-mock1__027.fna,99.95,0.8
metabat2-mock1__028.fna,99.09,1.9
metabat2-mock1__029.fna,99.99,0.21
metabat2-mock1__030.fna,87.33,0.21
metabat2-mock1__032.fna,87.86,0.0
metabat2-mock1__033.fna,78.76,0.31
metabat2-multisample__003.fna,100.0,0.22
metabat2-multisample__005.fna,78.77,0.31
metabat2-multisample__006.fna,89.22,0.06
metabat2-multisample__008.fna,99.98,0.06
metabat2-multisample__011.fna,97.67,3.87
metabat2-multisample__012.fna,99.98,0.21
metabat2-multisample__013.fna,95.82,0.23
metabat2-multisample__014.fna,99.55,0.77
metabat2-multisample__017.fna,99.46,0.19
metabat2-multisample__018.fna,99.55,6.95
metabat2-multisample__019.fna,99.95,0.8
metabat2-multisample__021.fna,99.35,0.41
metabat2-multisample__022.fna,96.25,0.61
metabat2-multisample__023.fna,99.71,0.79
metabat2-multisample__024.fna,100.0,0.25
metabat2-multisample__025.fna,98.88,0.44
metabat2-multisample__026.fna,99.99,0.34
metabat2-multisample__027.fna,99.91,0.41
metabat2-multisample__028.fna,88.85,0.02
metabat2-multisample__030.fna,87.32,0.21
metabat2-multisample__033.fna,99.91,0.12
metabat2-multisample__034.fna,68.85,1.62
semibin2__003.fna,96.64,6.52
semibin2__004.fna,97.94,0.16
semibin2__006.fna,77.56,6.8
semibin2__007.fna,68.71,1.64
semibin2__012.fna,99.35,0.41
semibin2__014.fna,99.51,0.78
semibin2__015.fna,78.95,0.29
semibin2__017.fna,99.77,0.53
semibin2__018.fna,59.51,0.0
semibin2__019.fna,99.84,0.26
semibin2__020.fna,89.61,0.02
semibin2__023.fna,99.98,0.21
semibin2__027.fna,100.0,1.92
semibin2__028.fna,88.16,0.07
semibin2__029.fna,99.99,0.28
semibin2__030.fna,99.99,0.44
semibin2__031.fna,86.5,0.19
semibin2__035.fna,97.31,3.96
semibin2__036.fna,100.0,0.22
semibin2__038.fna,99.92,0.12
semibin2__039.fna,99.47,0.19
semibin2__040.fna,98.03,0.56
semibin2__041.fna,99.96,0.92
semibin2__043.fna,100.0,0.48
taxvamb__002.fna,100.0,0.59
taxvamb__004.fna,99.98,0.21
taxvamb__007.fna,100.0,0.06
taxvamb__008.fna,99.41,0.33
taxvamb__011.fna,91.95,3.3
taxvamb__012.fna,95.95,0.54
taxvamb__013.fna,88.43,0.02
taxvamb__014.fna,93.15,0.16
taxvamb__015.fna,100.0,0.48
taxvamb__021.fna,77.72,0.36
taxvamb__022.fna,99.47,0.19
taxvamb__025.fna,65.55,0.01
taxvamb__026.fna,59.44,0.01
taxvamb__027.fna,64.21,1.19
taxvamb__028.fna,77.63,6.32
taxvamb__033.fna,98.03,0.45
taxvamb__034.fna,99.91,0.12
taxvamb__035.fna,100.0,0.04
vamb__001.fna,99.95,0.8
vamb__002.fna,100.0,0.05
vamb__003.fna,97.39,1.36
vamb__004.fna,93.45,3.44
vamb__005.fna,87.98,0.01
vamb__006.fna,93.21,0.21
vamb__008.fna,85.54,0.23
vamb__009.fna,100.0,0.48
vamb__010.fna,77.28,1.75
vamb__012.fna,99.46,0.19
vamb__020.fna,62.93,1.76
vamb__021.fna,99.41,0.42
vamb__022.fna,100.0,0.05
vamb__023.fna,99.99,0.56
vamb__025.fna,99.95,0.2
