EvaluationSet	Reference	GenBankAssembly	ExpectedAbundancePct	AbundanceBin	Branch	EvidenceClass	GenomeFractionPct	RecoveredGe90Pct	FullGenomeGe99Pct	MismatchesPer100Kbp	IndelsPer100Kbp	ReferenceReportPresent	BranchReportPresent
MOCK1	Halobacterium_salinarum_NRC-1	GCA_000006805.1	2.53229319151	>=1%	sr-megahit-m1	biological	57.518	no	no	185.38	3.51	yes	yes
MOCK1	Halobacterium_salinarum_NRC-1	GCA_000006805.1	2.53229319151	>=1%	sr-metaspades-m1	biological	63.709	no	no	190.52	8.91	yes	yes
MOCK1	Halobacterium_salinarum_NRC-1	GCA_000006805.1	2.53229319151	>=1%	lr-flye-ont	biological	93.986	yes	no	100.14	306.88	yes	yes
MOCK1	Halobacterium_salinarum_NRC-1	GCA_000006805.1	2.53229319151	>=1%	lr-flye-hifi	biological	95.38	yes	no	1.85	2.01	yes	yes
MOCK1	Halobacterium_salinarum_NRC-1	GCA_000006805.1	2.53229319151	>=1%	lr-hifiasm-hifi	biological	87.228	no	no	1.16	0.31	yes	yes
MOCK1	Halobacterium_salinarum_NRC-1	GCA_000006805.1	2.53229319151	>=1%	lr-metamdbg-hifi	biological	92.112	yes	no	1.31	0.34	yes	yes
MOCK1	Halobacterium_salinarum_NRC-1	GCA_000006805.1	2.53229319151	>=1%	sr-spades-10m	biological	91.094	yes	no	5.63	0.38	yes	yes
MOCK1	Halobacterium_salinarum_NRC-1	GCA_000006805.1	2.53229319151	>=1%	hybrid-illumina-ont	biological	92.461	yes	no	11	0.63	yes	yes
MOCK1	Halobacterium_salinarum_NRC-1	GCA_000006805.1	2.53229319151	>=1%	hybrid-illumina-hifi	biological	92.436	yes	no	8.77	0.92	yes	yes
MOCK1	Halobacterium_salinarum_NRC-1	GCA_000006805.1	2.53229319151	>=1%	lr-ont-polypolish	biological	94.259	yes	no	43.02	65.99	yes	yes
MOCK1	Halobacterium_salinarum_NRC-1	GCA_000006805.1	2.53229319151	>=1%	lr-ont-careful	biological	94.258	yes	no	46.17	79.3	yes	yes
MOCK1	Halobacterium_salinarum_NRC-1	GCA_000006805.1	2.53229319151	>=1%	diagnostic-fragmented-50kb	diagnostic	95.375	yes	no	1.85	2.01	yes	yes
MOCK1	Halobacterium_salinarum_NRC-1	GCA_000006805.1	2.53229319151	>=1%	diagnostic-chimeric-rotation	diagnostic	95.38	yes	no	1.85	2.01	yes	yes
MOCK1	Chlorobaculum_tepidum_TLS	GCA_000006985.1	0.243282052687	0.1-<1%	sr-megahit-m1	biological	17.044	no	no	185.37	2.45	yes	yes
MOCK1	Chlorobaculum_tepidum_TLS	GCA_000006985.1	0.243282052687	0.1-<1%	sr-metaspades-m1	biological	22.034	no	no	187.35	6.95	yes	yes
MOCK1	Chlorobaculum_tepidum_TLS	GCA_000006985.1	0.243282052687	0.1-<1%	lr-flye-ont	biological	100	yes	yes	88.05	526.09	yes	yes
MOCK1	Chlorobaculum_tepidum_TLS	GCA_000006985.1	0.243282052687	0.1-<1%	lr-flye-hifi	biological	100	yes	yes	0.28	0.37	yes	yes
MOCK1	Chlorobaculum_tepidum_TLS	GCA_000006985.1	0.243282052687	0.1-<1%	lr-hifiasm-hifi	biological	100	yes	yes	0.28	0.32	yes	yes
MOCK1	Chlorobaculum_tepidum_TLS	GCA_000006985.1	0.243282052687	0.1-<1%	lr-metamdbg-hifi	biological	99.836	yes	yes	0.28	0.37	yes	yes
MOCK1	Chlorobaculum_tepidum_TLS	GCA_000006985.1	0.243282052687	0.1-<1%	sr-spades-10m	biological	98.822	yes	no	12.44	1.27	yes	yes
MOCK1	Chlorobaculum_tepidum_TLS	GCA_000006985.1	0.243282052687	0.1-<1%	hybrid-illumina-ont	biological	99.57	yes	yes	25.86	4.61	yes	yes
MOCK1	Chlorobaculum_tepidum_TLS	GCA_000006985.1	0.243282052687	0.1-<1%	hybrid-illumina-hifi	biological	99.769	yes	yes	31.01	7.02	yes	yes
MOCK1	Chlorobaculum_tepidum_TLS	GCA_000006985.1	0.243282052687	0.1-<1%	lr-ont-polypolish	biological	100	yes	yes	5.85	59.61	yes	yes
MOCK1	Chlorobaculum_tepidum_TLS	GCA_000006985.1	0.243282052687	0.1-<1%	lr-ont-careful	biological	100	yes	yes	8.45	71.83	yes	yes
MOCK1	Chlorobaculum_tepidum_TLS	GCA_000006985.1	0.243282052687	0.1-<1%	diagnostic-fragmented-50kb	diagnostic	100	yes	yes	0.28	0.37	yes	yes
MOCK1	Chlorobaculum_tepidum_TLS	GCA_000006985.1	0.243282052687	0.1-<1%	diagnostic-chimeric-rotation	diagnostic	100	yes	yes	0.28	0.37	yes	yes
MOCK1	Methanopyrus_kandleri_AV19	GCA_000007185.1	0.210206465038	0.1-<1%	sr-megahit-m1	biological	0.753	no	no	156.8	0	yes	yes
MOCK1	Methanopyrus_kandleri_AV19	GCA_000007185.1	0.210206465038	0.1-<1%	sr-metaspades-m1	biological	1.36	no	no	229.9	0	yes	yes
MOCK1	Methanopyrus_kandleri_AV19	GCA_000007185.1	0.210206465038	0.1-<1%	lr-flye-ont	biological	57.211	no	no	754.15	1795.43	yes	yes
MOCK1	Methanopyrus_kandleri_AV19	GCA_000007185.1	0.210206465038	0.1-<1%	lr-flye-hifi	biological	99.861	yes	yes	1.89	5.49	yes	yes
MOCK1	Methanopyrus_kandleri_AV19	GCA_000007185.1	0.210206465038	0.1-<1%	lr-hifiasm-hifi	biological	99.746	yes	yes	3	7.93	yes	yes
MOCK1	Methanopyrus_kandleri_AV19	GCA_000007185.1	0.210206465038	0.1-<1%	lr-metamdbg-hifi	biological	99.699	yes	yes	1.89	1.89	yes	yes
MOCK1	Methanopyrus_kandleri_AV19	GCA_000007185.1	0.210206465038	0.1-<1%	sr-spades-10m	biological	95.067	yes	no	103.46	12.75	yes	yes
MOCK1	Methanopyrus_kandleri_AV19	GCA_000007185.1	0.210206465038	0.1-<1%	hybrid-illumina-ont	biological	98.741	yes	no	143.05	73.04	yes	yes
MOCK1	Methanopyrus_kandleri_AV19	GCA_000007185.1	0.210206465038	0.1-<1%	hybrid-illumina-hifi	biological	99.717	yes	yes	107.33	6.48	yes	yes
MOCK1	Methanopyrus_kandleri_AV19	GCA_000007185.1	0.210206465038	0.1-<1%	lr-ont-polypolish	biological	71.822	no	no	657.68	1427.26	yes	yes
MOCK1	Methanopyrus_kandleri_AV19	GCA_000007185.1	0.210206465038	0.1-<1%	lr-ont-careful	biological	71.822	no	no	661.4	1435.67	yes	yes
MOCK1	Methanopyrus_kandleri_AV19	GCA_000007185.1	0.210206465038	0.1-<1%	diagnostic-fragmented-50kb	diagnostic	99.861	yes	yes	1.89	5.49	yes	yes
MOCK1	Methanopyrus_kandleri_AV19	GCA_000007185.1	0.210206465038	0.1-<1%	diagnostic-chimeric-rotation	diagnostic	99.861	yes	yes	1.89	5.49	yes	yes
