MAG	MIMAGQuality	DominantTruthAccession	DominantTruthReference	DominantGenomeRecoveryPct	AlignedPurityPct	TruthProxyTier	TruthUsedForMIMAGTier
binette__001	Medium quality	GCA_000016545.1	Caldicellulosiruptor_saccharolyticus_DSM_8903	91.38456876888503	97.09827528139168	HQ proxy	No
binette__002	Medium quality	GCA_000019085.1	Thermoanaerobacter_pseudethanolicus_ATCC_33223	91.40584793737642	99.81976093335663	HQ proxy	No
binette__003	Medium quality	GCA_000021565.1	Persephonella_marina_EX-H1	96.30573306195771	100.0	HQ proxy	No
binette__004	Medium quality	GCA_001639275.1	Methanobrevibacter_oralis_DSM_7256	95.41639472013372	99.75181259502148	HQ proxy	No
binette__005	High quality	GCA_000011105.1	Pyrococcus_horikoshii_OT3	99.63250033793403	99.89519064579396	HQ proxy	No
binette__006	High quality	GCA_000010305.1	Gemmatimonas_aurantiaca_T-27	99.87064812234902	100.0	HQ proxy	No
binette__007	Medium quality	GCA_000018945.1	Thermotoga_neapolitana_DSM_4359	94.10473096666493	100.0	HQ proxy	No
binette__008	Medium quality	GCA_000010505.1	Porphyromonas_gingivalis_ATCC_33277	86.8408916609976	100.0	MQ proxy	No
binette__009	Medium quality	GCA_003019295.1	Fusobacterium_nucleatum_subsp._nucleatum_ATCC_25586	96.4010383005191	96.90832420469026	HQ proxy	No
binette__011	High quality	GCA_000196115.1	Rhodopirellula_baltica_SH_1	97.05640245097106	99.94628390927635	HQ proxy	No
binette__012	High quality	GCA_000009145.1	Nitrosomonas_europaea_ATCC_19718	95.72973022950157	100.0	HQ proxy	No
binette__013	Medium quality	GCA_000008085.1	Nanoarchaeum_equitans_Kin4-M	84.4205873065993	99.13142463578185	MQ proxy	No
binette__014	Medium quality	GCA_000017325.1	Shewanella_baltica_OS185	74.56949204861365	56.956671704053306	Below MQ proxy	No
binette__015	Medium quality	GCA_000017945.1	Ignicoccus_hospitalis_KIN4_I	83.18060819798727	100.0	MQ proxy	No
binette__017	Medium quality	GCA_000020785.1	Hydrogenobaculum_sp._Y04AAS1	71.91221111192333	99.01707379876207	MQ proxy	No
binette__018	Medium quality	GCA_000016125.1	Methanococcus_maripaludis_C5	73.0768241845095	98.21666110867513	MQ proxy	No
binette__019	Medium quality	GCA_001481685.1	Ignicoccus_islandicus_DSM_13165	66.63540465660546	98.29866536509918	MQ proxy	No
binette__021	Medium quality	GCA_000016085.1	Chlorobium_phaeovibrioides_DSM_265	94.60733820133431	100.0	HQ proxy	No
binette__022	Medium quality	GCA_000020465.1	Chlorobium_limicola_DSM_245	96.61748542712186	99.76507017374634	HQ proxy	No
binette__023	Medium quality	GCA_000091665.1	Methanocaldococcus_jannaschii_DSM_2661	98.7828799714011	99.1818565159882	HQ proxy	No
binette__024	Medium quality	GCA_000016785.1	Thermotoga_petrophila_RKU-1	92.67243246681814	99.06202471944647	HQ proxy	No
binette__025	Medium quality	GCA_000018565.1	Herpetosiphon_aurantiacus_DSM_785	95.59103844561066	99.7852041601978	HQ proxy	No
binette__026	Medium quality	GCA_002952055.1	Desulfobulbus_oralis_sp._ONRL	94.07190771971193	100.0	HQ proxy	No
