MAG	Contig	Start	End	Strand	Marker	CompleteHit	Attributes
binette__001	k141_10582	26370	26486	-	5S	True	ID=5S_rRNA-1;Name=5S_rRNA;Alias=5S_rRNA;Dbxref=Rfam:RF00001;product=5S ribosomal RNA
binette__001	k141_11259	319	435	+	5S	True	ID=5S_rRNA-2;Name=5S_rRNA;Alias=5S_rRNA;Dbxref=Rfam:RF00001;product=5S ribosomal RNA
binette__001	k141_3997	7	123	+	5S	True	ID=5S_rRNA-3;Name=5S_rRNA;Alias=5S_rRNA;Dbxref=Rfam:RF00001;product=5S ribosomal RNA
binette__001	k141_4206	26043	26134	+	16S	True	ID=16S_rRNA-1;Name=16S_rRNA;Alias=SSU_rRNA_bacteria;Dbxref=Rfam:RF00177;product=16S ribosomal RNA
binette__001	k141_9063	1	92	-	16S	True	ID=16S_rRNA-2;Name=16S_rRNA;Alias=SSU_rRNA_bacteria;Dbxref=Rfam:RF00177;product=16S ribosomal RNA
binette__002	k141_25084	36696	36804	-	5S	True	ID=5S_rRNA-1;Name=5S_rRNA;Alias=5S_rRNA;Dbxref=Rfam:RF00001;product=5S ribosomal RNA
binette__002	k141_46936	1	72	-	16S	True	ID=16S_rRNA-1;Name=16S_rRNA;Alias=SSU_rRNA_bacteria;Dbxref=Rfam:RF00177;product=16S ribosomal RNA
binette__002	k141_56331	131519	131627	-	5S	True	ID=5S_rRNA-2;Name=5S_rRNA;Alias=5S_rRNA;Dbxref=Rfam:RF00001;product=5S ribosomal RNA
binette__003	k141_31587	1	137	-	16S	True	ID=16S_rRNA-1;Name=16S_rRNA;Alias=SSU_rRNA_bacteria;Dbxref=Rfam:RF00177;product=16S ribosomal RNA
binette__003	k141_32214	1	137	-	16S	True	ID=16S_rRNA-2;Name=16S_rRNA;Alias=SSU_rRNA_bacteria;Dbxref=Rfam:RF00177;product=16S ribosomal RNA
binette__003	k141_33495	17	133	+	5S	True	ID=5S_rRNA-1;Name=5S_rRNA;Alias=5S_rRNA;Dbxref=Rfam:RF00001;product=5S ribosomal RNA
binette__003	k141_41396	707921	708037	-	5S	True	ID=5S_rRNA-2;Name=5S_rRNA;Alias=5S_rRNA;Dbxref=Rfam:RF00001;product=5S ribosomal RNA
binette__004	k141_12454	1	58	-	16S	True	ID=16S_rRNA-1;Name=16S_rRNA;Alias=SSU_rRNA_archaea;Dbxref=Rfam:RF01959;product=16S ribosomal RNA
binette__004	k141_12495	1	58	-	16S	True	ID=16S_rRNA-2;Name=16S_rRNA;Alias=SSU_rRNA_archaea;Dbxref=Rfam:RF01959;product=16S ribosomal RNA
binette__004	k141_28252	10433	10550	-	5S	True	ID=5S_rRNA-1;Name=5S_rRNA;Alias=5S_rRNA;Dbxref=Rfam:RF00001;product=5S ribosomal RNA
binette__004	k141_28354	11051	11168	-	5S	True	ID=5S_rRNA-2;Name=5S_rRNA;Alias=5S_rRNA;Dbxref=Rfam:RF00001;product=5S ribosomal RNA
binette__005	k141_15880	80233	80354	+	5S	True	ID=5S_rRNA-1;Name=5S_rRNA;Alias=5S_rRNA;Dbxref=Rfam:RF00001;product=5S ribosomal RNA
binette__005	k141_15880	423537	423658	-	5S	True	ID=5S_rRNA-2;Name=5S_rRNA;Alias=5S_rRNA;Dbxref=Rfam:RF00001;product=5S ribosomal RNA
binette__005	k141_21892	329470	330966	+	16S	True	ID=16S_rRNA-1;Name=16S_rRNA;Alias=SSU_rRNA_archaea;Dbxref=Rfam:RF01959;product=16S ribosomal RNA
