Genome	AnalysisSet	Species	Domain	Phylum	CompletenessPct	ContaminationPct	GenomeBp	DRAMAnnotationRows	DRAMFullKOCount	DRAMComparableKOCount	METABOLICKOCount	SharedKOCount	DRAMOnlyKOCount	METABOLICOnlyKOCount	UnionKOCount	Jaccard	ComparisonKOUniverse
SGB_001	Primary real MAG	Desulfobulbus oralis	Bacteria	Desulfobacterota	99.95	0.2	2614762	2386	1087	280	334	280	0	54	334	0.8383233532934131	2678
SGB_002	Primary real MAG	Nitrosomonas europaea	Bacteria	Pseudomonadota	100.0	0.04	2643322	2468	1289	324	370	320	4	50	374	0.8556149732620321	2678
SGB_003	Primary real MAG	Porphyromonas gingivalis	Bacteria	Bacteroidota	98.69	0.55	2039351	1714	800	204	245	204	0	41	245	0.8326530612244898	2678
SGB_004	Primary real MAG	Chlorobium phaeovibrioides	Bacteria	Bacteroidota	100.0	0.05	1906417	1809	1007	291	333	289	2	44	335	0.8626865671641791	2678
SGB_005	Primary real MAG	Chlorobium limicola	Bacteria	Bacteroidota	100.0	0.14	2653984	2544	1128	310	356	306	4	50	360	0.85	2678
SGB_006	Primary real MAG	Shewanella baltica	Bacteria	Pseudomonadota	99.55	6.95	5210977	5255	1914	373	425	373	0	52	425	0.8776470588235294	2678
SGB_007	Primary real MAG	Herpetosiphon aurantiacus	Bacteria	Chloroflexota	99.97	0.28	6481038	5684	1461	368	461	367	1	94	462	0.7943722943722944	2678
SGB_008	Primary real MAG	Ignicoccus islandicus	Archaea	Thermoproteota	59.51	0.0	946551	1276	352	87	91	86	1	5	92	0.9347826086956522	2678
SGB_009	Primary real MAG	Ignicoccus hospitalis	Archaea	Thermoproteota	78.95	0.29	1083632	1454	466	125	133	124	1	9	134	0.9253731343283582	2678
SGB_010	Primary real MAG	Methanocaldococcus jannaschii	Archaea	AGJL01	99.92	0.12	1727858	1874	886	242	255	241	1	14	256	0.94140625	2678
SGB_011	Primary real MAG	Methanocatella oralis	Archaea	Methanobacteriota	99.41	0.33	1937978	2004	796	214	233	214	0	19	233	0.9184549356223176	2678
SGB_012	Primary real MAG	Fusobacterium nucleatum	Bacteria	Fusobacteriota	98.68	0.29	2147088	2234	876	191	232	191	0	41	232	0.8232758620689655	2678
SGB_013	Primary real MAG	Methanococcus maripaludis_D	Archaea	AGJL01	72.13	3.33	1366218	1776	642	171	182	170	1	12	183	0.9289617486338798	2678
SGB_014	Primary real MAG	Persephonella marina	Bacteria	Aquificota	100.0	0.48	1920309	1999	1011	284	325	280	4	45	329	0.851063829787234	2678
SGB_015	Primary real MAG	Hydrogenobaculum sp003543175	Bacteria	Aquificota	69.48	1.49	1122363	1457	542	166	202	163	3	39	205	0.7951219512195122	2678
SGB_016	Primary real MAG	Caldicellulosiruptor saccharolyticus	Bacteria	Bacillota	99.99	0.02	2770249	2780	1194	239	281	234	5	47	286	0.8181818181818182	2678
SGB_017	Primary real MAG	Thermoanaerobacter pseudethanolicus	Bacteria	Bacillota	99.98	0.31	2151032	2198	1230	253	306	252	1	54	307	0.8208469055374593	2678
SGB_018	Primary real MAG	Nanoarchaeum equitans	Archaea	Nanobdellota	87.33	0.21	418156	541	178	7	8	7	0	1	8	0.875	2678
SGB_019	Primary real MAG	Pyrococcus horikoshii	Archaea	Methanobacteriota_B	99.47	0.19	1736697	1898	809	151	168	150	1	18	169	0.8875739644970414	2678
SGB_020	Primary real MAG	Halobacterium salinarum	Archaea	Halobacteriota	89.61	0.02	2000542	2233	810	214	239	214	0	25	239	0.895397489539749	2678
SGB_021	Primary real MAG	Rhodopirellula baltica	Bacteria	Planctomycetota	97.85	3.87	6915991	5736	1236	327	403	326	1	77	404	0.806930693069307	2678
SGB_022	Primary real MAG	Gemmatimonas aurantiaca	Bacteria	Gemmatimonadota	99.94	0.79	4629413	3971	1332	330	382	330	0	52	382	0.8638743455497382	2678
SGB_023	Primary real MAG	Thermotoga petrophila	Bacteria	Thermotogota	99.93	0.15	1698339	1735	915	199	242	199	0	43	242	0.8223140495867769	2678
SGB_024	Primary real MAG	Thermotoga neapolitana	Bacteria	Thermotogota	99.5	0.45	1772843	1802	948	208	252	208	0	44	252	0.8253968253968254	2678
TRUNC_050	Deterministic truncation sensitivity	Nitrosomonas europaea	Bacteria	Pseudomonadota	NA	NA	1375500	1289	761	197	237	195	2	42	239	0.8158995815899581	2678
TRUNC_070	Deterministic truncation sensitivity	Nitrosomonas europaea	Bacteria	Pseudomonadota	NA	NA	1854953	1713	953	247	292	244	3	48	295	0.8271186440677966	2678
TRUNC_090	Deterministic truncation sensitivity	Nitrosomonas europaea	Bacteria	Pseudomonadota	NA	NA	2407256	2221	1210	310	354	306	4	48	358	0.8547486033519553	2678
TRUNC_100	Deterministic truncation sensitivity	Nitrosomonas europaea	Bacteria	Pseudomonadota	NA	NA	2643322	2468	1289	324	370	320	4	50	374	0.8556149732620321	2678
