SeqName	Assembly	ReferenceLabel	ReferenceSequenceClass	OriginalHeader	LengthBp	SequenceSHA256
GCA_000144915.1|CP001742.1	GCA_000144915.1	Other replicon	Complete cellular replicon	GCA_000144915.1|CP001742.1 Acidilobus saccharovorans 345-15, complete genome	1496453	e5eaa4ce62f1788f2e9898f1392e6aba3b2334ca317155ab2e7173c524e335d2
GCA_000022565.1|CP001472.1	GCA_000022565.1	Other replicon	Complete cellular replicon	GCA_000022565.1|CP001472.1 Acidobacterium capsulatum ATCC 51196, complete genome	4127356	a576eaec4b7542ec85ce65f1021b40d4e9cc75efb7ddb429535fa8d4ce80025d
GCA_000025665.1|CP001941.1	GCA_000025665.1	Other replicon	Complete cellular replicon	GCA_000025665.1|CP001941.1 Aciduliprofundum boonei T469, complete genome	1486778	0ad1d3f7760c10147cc23a9659845c5d3ea1d6b1a275250848faab75c7d164be
GCA_000015425.1|CP000521.1	GCA_000015425.1	Other replicon	Complete cellular replicon	GCA_000015425.1|CP000521.1 Acinetobacter baumannii ATCC 17978, complete genome	3976747	be9f5724b339693cd358706b97ba7566110de38a5792b07218a1c1aadb89c17c
GCA_000015425.1|CP000522.1	GCA_000015425.1	Plasmid	GenBank-labelled plasmid	GCA_000015425.1|CP000522.1 Acinetobacter baumannii ATCC 17978 plasmid pAB1, complete sequence	13408	439600640c54a3337e90061a6b812868dcd40ea4b0da71c317d65bfb573bced8
GCA_000015425.1|CP000523.1	GCA_000015425.1	Plasmid	GenBank-labelled plasmid	GCA_000015425.1|CP000523.1 Acinetobacter baumannii ATCC 17978 plasmid pAB2, complete sequence	11302	4e31a218f51e90f9b19e1d23baee72d1956ba8fc58ad83517d881f5b5a5872ce
GCA_000154225.1|DS264586.1	GCA_000154225.1	Other replicon	Draft scaffold/other sequence	GCA_000154225.1|DS264586.1 Actinomyces odontolyticus ATCC 17982 Scfld021 genomic scaffold, whole genome shotgun sequence	2391230	fe436ab992d9cdad221d971f78c0b029ca84d4f8f5e7c674a12d284ad3ea73b5
GCA_000154225.1|DS264585.1	GCA_000154225.1	Other replicon	Draft scaffold/other sequence	GCA_000154225.1|DS264585.1 Actinomyces odontolyticus ATCC 17982 Scfld020 genomic scaffold, whole genome shotgun sequence	2728	7eee9daa518edcae59bf298c05c03b02550543c4b0cc0675296eef51dccd7b47
GCA_000020225.1|CP001071.1	GCA_000020225.1	Other replicon	Complete cellular replicon	GCA_000020225.1|CP001071.1 Akkermansia muciniphila ATCC BAA-835, complete genome	2664102	5d60503921fad6c8e0c6fc2bfcf1294bd400a4238d780cfde9929e24b44a290e
GCA_000008665.1|AE000782.1	GCA_000008665.1	Other replicon	Complete cellular replicon	GCA_000008665.1|AE000782.1 Archaeoglobus fulgidus DSM 4304, complete genome	2178400	f02066bb497ca945a80d88693c9dfb8b34e841904f4cc98383c7ac5e4a524945
GCA_000008005.1|AE017194.1	GCA_000008005.1	Other replicon	Complete cellular replicon	GCA_000008005.1|AE017194.1 Bacillus cereus ATCC 10987, complete genome	5224283	76e3fbe6c78475c6e6ea536117e6e7e5b10afa6177bb16eda3473c1713928ea2
GCA_000008005.1|AE017195.1	GCA_000008005.1	Plasmid	GenBank-labelled plasmid	GCA_000008005.1|AE017195.1 Bacillus cereus ATCC 10987 plasmid pBc10987, complete sequence	208369	94d7a4ad20f444710abec2fb9eaf2005ab8f449707f8528385ea30f9e017e4f9
GCA_000011065.1|AE015928.1	GCA_000011065.1	Other replicon	Complete cellular replicon	GCA_000011065.1|AE015928.1 Bacteroides thetaiotaomicron VPI-5482, complete genome	6260361	c887528341de32a6c6ffbb858db526dfb2f3dd45a838d13de9fdb30f85753173
