Genome	Genes	AminoAcids	ProteinFileSHA256	ProteinSequenceMultisetSHA256	UniqueProteinIDs	GenomePrefixPass	ProdigalMode
SGB_002	2468	776350	749bcc9e1f6cc87ebce57defce22346061ff7992fee198fc0ef9f0eb526ce20d	893f8773e491f960b1f497186c089a5623103dd888b96e72fa7385a665897bd3	true	true	meta
SGB_006	5255	1481044	da77598f9dd9e037ea6de9dd30456cb81d48f6d69dc85a78b82a9accbb8d4275	56f0b1eba55081d69bed630b80e80c2839c2798bffc5693ae030dea090a8a1ce	true	true	meta
SGB_008	1276	286831	f4756248ffba45799024c3c5f4dee1b92c6b85cb5001b6661d15a445fbae196e	dd7268d578d35310b70ca9d569a0badbaa3a96e63bbe7fcbc84df22796cd1bb1	true	true	meta
SGB_010	1874	510377	db335a7343e840323458a888caa491a0ab16242bd6ca01214cdd9880cbc70e74	d4bb05f8ebdfbc401765f17c04f198df6f4956d4f9a2d8eec87ddb0dec4c60a3	true	true	meta
SGB_016	2780	827800	fbf780be7613fbd3ef3760f79290568536cbedde46e66386a76274a2b804ad1e	dbae7835e2ef2963eebd8a5e27ff55b0e0359824fed991b7b4c745c093b404e8	true	true	meta
SGB_018	541	133167	4ccff226f7d552cfcb2d3e1f6255e9cbf19b7f1075351e728a0cd9d6cd74b595	cfcc7ec85d0f29bd2deb159df3ada798f3ab843bffe1c2121ff137143bb08cf3	true	true	meta
SGB_021	5736	2044875	c62e140276b2188c449eae59ab2ae68185f549ffba373d0c5c08c1bbc299ca9b	1466d82b99fa9523298cfbc66cfed1856756f3c13614cbfa8e8d3c8898f89768	true	true	meta
SGB_024	1802	567614	50f3ca5dcb40f6d9c86fbfd07729481452bae895abde3ce997aa948428720b67	aa125f6e2160e93572aa51eec737b63b7de95db9aaccb2e9a9f602b9a9875383	true	true	meta
TRUNC_050	1289	405449	501e9d471dcbfe17424d115300a6f75eb0afbfafc84d526c193ddbcb7973d334	3a1d62a1eec593a37be42f17cea2c3fd39b4281193bbee3d98610421994b3788	true	true	meta
TRUNC_070	1713	545699	f3bbf4c4b1489cd7fd1b5bb73d507d2f4a7a048ad0cfee5166a6441827397835	14902617316a0740af04877fe6ad6e15eb42f1684e689978103a32708892e6ea	true	true	meta
TRUNC_090	2221	707540	adade218beab33431c25141ed1a9f166aa87adff1c28997984434baefc96603d	b2d2f3813211e0514e2eb1111ce4c56955823bd0111e3070b95669733b482252	true	true	meta
TRUNC_100	2468	776350	3be63f2bcbf8a5f115fbf9a05398dca207b44004332b020f4345bf54b1978b2b	893f8773e491f960b1f497186c089a5623103dd888b96e72fa7385a665897bd3	true	true	meta
