Contig	LengthBp	Topology	Genes	PlasmidScore	FDR	Hallmarks	MarkerEnrichment	ConjugationMarkerCount	ConjugationMarkers	geNomadAMRMarkerCount	CARDPrimaryARGCount	CARDPrimaryARGs	EvidenceContext	ClaimCeiling	BestReference	ReferenceLabel	ReferenceSequenceClass	AlignmentIdentity	QueryCoverage	ReferenceSupport
k141_41169	6618	No terminal repeats	10	0.9950	NA	0	10.3282	0		0	0		Plasmid call only	Predicted plasmid sequence	GCA_000006805.1|AF016485.1	Plasmid	GenBank-labelled plasmid	0.999698	0.999547	Reference-plasmid supported
k141_40019	12206	No terminal repeats	20	0.9946	NA	0	17.5099	0		0	0		Plasmid call only	Predicted plasmid sequence	GCA_000006805.1|AE004438.1	Plasmid	GenBank-labelled plasmid	0.998277	0.998607	Reference-plasmid supported
k141_51419	3967	No terminal repeats	4	0.9946	NA	4	5.2263	4	F_traB;F_traK;F_traV;virb4	0	0		Plasmid call + conjugation marker	Predicted plasmid with transfer-related marker	GCA_000021665.1|CP001254.1	Plasmid	GenBank-labelled plasmid	0.866818	0.996723	No high-coverage reference support
k141_20114	5118	No terminal repeats	9	0.9939	NA	0	3.9545	0		0	0		Plasmid call only	Predicted plasmid sequence	GCA_000006805.1|AE004437.1	Other replicon	Complete cellular replicon	0.994874	0.991012	Complete-cellular-reference conflict
k141_5394	1542	No terminal repeats	3	0.9935	NA	3	4.2382	2	F_traF;F_traN	0	0		Plasmid call + conjugation marker	Predicted plasmid with transfer-related marker	GCA_000021665.1|CP001253.1	Plasmid	GenBank-labelled plasmid	1.000000	0.983139	Reference-plasmid supported
k141_58029	4158	DTR	6	0.9930	NA	3	4.5029	1	MOBP1	0	0		Plasmid call + conjugation marker	Predicted plasmid with transfer-related marker		Unresolved	Unresolved	0.000000	0.000000	No high-coverage reference support
k141_30164	2888	No terminal repeats	5	0.9928	NA	0	3.3289	0		0	0		Plasmid call only	Predicted plasmid sequence	GCA_000021665.1|CP001254.1	Plasmid	GenBank-labelled plasmid	1.000000	0.989266	Reference-plasmid supported
k141_1420	4809	No terminal repeats	6	0.9927	NA	0	6.8692	0		0	0		Plasmid call only	Predicted plasmid sequence	GCA_000006805.1|AE004438.1	Plasmid	GenBank-labelled plasmid	1.000000	0.995841	Reference-plasmid supported
k141_39743	3994	No terminal repeats	6	0.9926	NA	0	3.2631	0		0	0		Plasmid call only	Predicted plasmid sequence	GCA_000006805.1|AE004438.1	Plasmid	GenBank-labelled plasmid	1.000000	0.995994	Reference-plasmid supported
k141_31460	30940	No terminal repeats	35	0.9926	NA	0	11.7124	0		0	0		Plasmid call only	Predicted plasmid sequence	GCA_000006805.1|AE004438.1	Plasmid	GenBank-labelled plasmid	0.994342	0.999644	Reference-plasmid supported
k141_57295	2784	No terminal repeats	4	0.9922	NA	4	5.2263	4	F_traB;F_traK;F_traV;virb4	0	0		Plasmid call + conjugation marker	Predicted plasmid with transfer-related marker	GCA_000021665.1|CP001253.1	Plasmid	GenBank-labelled plasmid	0.740741	0.988147	No high-coverage reference support
k141_51760	3063	No terminal repeats	3	0.9920	NA	0	1.7183	0		0	0		Plasmid call only	Predicted plasmid sequence	GCA_000017325.1|CP000754.1	Plasmid	GenBank-labelled plasmid	1.000000	0.993797	Reference-plasmid supported
k141_12114	87818	No terminal repeats	100	0.9920	NA	2	37.0736	0		0	0		Plasmid call only	Predicted plasmid sequence	GCA_000009705.1|BA000020.2	Plasmid	GenBank-labelled plasmid	0.999749	0.999898	Reference-plasmid supported
k141_13824	2415	No terminal repeats	7	0.9919	NA	3	5.1024	1	F_traL	0	0		Plasmid call + conjugation marker	Predicted plasmid with transfer-related marker	GCA_000021665.1|CP001253.1	Plasmid	GenBank-labelled plasmid	0.944421	0.990890	No high-coverage reference support
k141_51608	2378	No terminal repeats	4	0.9918	NA	1	3.8020	0		0	0		Plasmid call only	Predicted plasmid sequence	GCA_000009225.1|AM181176.4	Other replicon	Complete cellular replicon	0.983823	0.987805	Complete-cellular-reference conflict
k141_49520	1865	No terminal repeats	3	0.9908	NA	2	2.9550	2	G_tfc8;G_tfc9	0	0		Plasmid call + conjugation marker	Predicted plasmid with transfer-related marker	GCA_000009225.1|AM181176.4	Other replicon	Complete cellular replicon	0.964382	0.993566	Complete-cellular-reference conflict
k141_54770	28412	No terminal repeats	39	0.9906	NA	0	11.4743	0		0	0		Plasmid call only	Predicted plasmid sequence	GCA_000009705.1|BA000020.2	Plasmid	GenBank-labelled plasmid	0.975990	0.999437	Reference-plasmid supported
k141_13341	7060	No terminal repeats	5	0.9904	NA	0	0.7202	0		0	0		Plasmid call only	Predicted plasmid sequence	GCA_000021665.1|CP001255.1	Plasmid	GenBank-labelled plasmid	1.000000	0.866289	Reference-plasmid supported
k141_26591	86482	No terminal repeats	68	0.9903	NA	5	24.0075	10	C_alr7204;C_alr7205;C_alr7207;C_alr7208;C_alr7209;C_alr7210;C_alr7211;C_alr7212;t4cp1;virb4	1	0		Plasmid call + conjugation marker	Predicted plasmid with transfer-related marker	GCA_000009705.1|BA000020.2	Plasmid	GenBank-labelled plasmid	0.983432	0.999780	Reference-plasmid supported
k141_17078	8619	No terminal repeats	12	0.9903	NA	0	7.1849	0		0	0		Plasmid call only	Predicted plasmid sequence	GCA_000006805.1|AE004438.1	Plasmid	GenBank-labelled plasmid	0.992158	0.998144	Reference-plasmid supported
k141_40819	1384	No terminal repeats	3	0.9902	NA	2	2.9674	1	F_traF	0	0		Plasmid call + conjugation marker	Predicted plasmid with transfer-related marker	GCA_000021665.1|CP001255.1	Plasmid	GenBank-labelled plasmid	0.960813	0.995665	Reference-plasmid supported
k141_38065	8688	No terminal repeats	5	0.9901	NA	2	5.4698	0		0	0		Plasmid call only	Predicted plasmid sequence	GCA_000006805.1|AE004438.1	Plasmid	GenBank-labelled plasmid	0.997237	0.999885	Reference-plasmid supported
k141_52608	7163	No terminal repeats	11	0.9899	NA	0	1.2194	0		0	0		Plasmid call only	Predicted plasmid sequence	GCA_000009705.1|BA000020.2	Plasmid	GenBank-labelled plasmid	0.990062	0.997208	Reference-plasmid supported
k141_2032	12954	No terminal repeats	15	0.9897	NA	0	2.2382	0		0	0		Plasmid call only	Predicted plasmid sequence	GCA_000006805.1|AE004438.1	Plasmid	GenBank-labelled plasmid	0.999845	0.998610	Reference-plasmid supported
k141_4729	8955	No terminal repeats	15	0.9897	NA	0	3.5156	0		0	0		Plasmid call only	Predicted plasmid sequence	GCA_000006805.1|AF016485.1	Plasmid	GenBank-labelled plasmid	0.997874	0.998102	Reference-plasmid supported
k141_11425	1292	No terminal repeats	3	0.9896	NA	2	2.9711	1	F_traE	0	0		Plasmid call + conjugation marker	Predicted plasmid with transfer-related marker	GCA_000017325.1|CP000754.1	Plasmid	GenBank-labelled plasmid	0.953249	0.976780	Reference-plasmid supported
