SequenceA	SequenceB	ANIpct	ShorterAlignmentFractionPct	PassANI95	PassAF85	SameVOTU	BoundaryPair
2013338001_____MeugFOFF_C2873	2013338001_____MeugFOFF_C2874	96.08	24.24	True	False	False	False
2013338001_____MeugFOFF_C2873	2013338001_____MeugFOFF_C5216	97.63	80.72	True	False	False	False
2013843001_____PLMO_C1010	2013843001_____PLMO_C1011	85.97	36.14	False	False	False	False
2013843001_____PLMO_C42	2013843001_____PLMO_C457	87.11	72.85	False	False	False	False
2013843002_____DCKB1_C2382	2013843002_____DCKB1_C3067	83.2	20.97	False	False	False	False
2013843002_____DCKB1_C2382	2013843002_____DCKB1_C717	80.41	43.7	False	False	False	False
2013843003_____YNP4_C4539	2013843003_____YNP4_C4540	97.74	34.99	True	False	False	False
2014031003_____YNP3_C3059	2014031003_____YNP3_C3265	89.44	37.93	False	False	False	False
UHGV-0001702	UHGV-0001715	95.16	84.76	True	False	False	True
UHGV-0018530	UHGV-0018535	97.73	0.06	True	False	False	False
