Branch	CandidateID	SourceBin	Contigs	BinBp	N50Bp	TruthAssignedBinPct	DominantTruthAccession	DominantTruthReference	DominantTruthContigBp	AlignedPurityPct	AlignedContaminationProxyPct	RecoveredReferenceBp	ReferenceBp	DominantGenomeRecoveryPct	TruthProxyTier	CheckM2Completeness	CheckM2Contamination	GUNCPass	QCMinimumPass	CandidateFASTA	CandidateSHA256
MetaBAT2-MOCK1-only	metabat2-mock1__001	bin.1.fa	7	245597	161417	100.0	GCA_000016545.1	Caldicellulosiruptor_saccharolyticus_DSM_8903	244051	99.37051348347089	0.6294865165291128	271943	2970275	9.155482236493254	Below MQ proxy	11.58	0.0	True	False	${ARTICLE42_WORK_DIR}/candidates/metabat2-mock1/metabat2-mock1__001.fna	7109433f775033fef145a4a57b10987501e0b4a9aaf1425fa3e2795b430e8ee5
MetaBAT2-MOCK1-only	metabat2-mock1__002	bin.10.fa	516	1387113	2761	100.0	GCA_000015125.1	Chlorobium_phaeobacteroides_DSM_266	1274401	91.87434621404313	8.125653785956871	1289530	3133902	41.147744888002244	Below MQ proxy	51.44	0.66	False	False	${ARTICLE42_WORK_DIR}/candidates/metabat2-mock1/metabat2-mock1__002.fna	c552742b948de6d6bfbe957f318da6ff3314983cb98c521567ea57f386183cdc
MetaBAT2-MOCK1-only	metabat2-mock1__003	bin.11.fa	242	6014960	49681	100.0	GCA_000018565.1	Herpetosiphon_aurantiacus_DSM_785	6014960	100.0	0.0	6026197	6785430	88.81083439074605	MQ proxy	99.92	0.44	True	True	${ARTICLE42_WORK_DIR}/candidates/metabat2-mock1/metabat2-mock1__003.fna	e7c1729037547241904dfa9e8057913208a207ba2d0036f499dd2603bbfe194a
MetaBAT2-MOCK1-only	metabat2-mock1__004	bin.12.fa	1051	5278744	6481	99.95593648792213	GCA_000017325.1	Shewanella_baltica_OS185	2917352	55.290388289934576	44.709611710065424	4001638	5312910	75.31913772301809	Below MQ proxy	99.71	7.18	True	True	${ARTICLE42_WORK_DIR}/candidates/metabat2-mock1/metabat2-mock1__004.fna	43dc910a95795aaafb1a79e6e0e85fbfdac683cbf551de6a9e19e130550de8e9
MetaBAT2-MOCK1-only	metabat2-mock1__005	bin.13.fa	38	1653443	79303	100.0	GCA_000091665.1	Methanocaldococcus_jannaschii_DSM_2661	1653443	100.0	0.0	1653057	1739927	95.00726179891456	HQ proxy	99.69	0.09	True	True	${ARTICLE42_WORK_DIR}/candidates/metabat2-mock1/metabat2-mock1__005.fna	2bfaaaac9fcd6467133b135a8d13de48439241c4be99021ca803a557f561803e
MetaBAT2-MOCK1-only	metabat2-mock1__006	bin.14.fa	195	1973287	14674	100.0	GCA_000006805.1	Halobacterium_salinarum_NRC-1	1973287	100.0	0.0	1966595	2571010	76.49114550312912	MQ proxy	88.65	0.01	True	True	${ARTICLE42_WORK_DIR}/candidates/metabat2-mock1/metabat2-mock1__006.fna	3333babd1055dd471540e40bf69e167d30e32617973847e641a152b7c0e1063e
MetaBAT2-MOCK1-only	metabat2-mock1__007	bin.15.fa	272	2119376	11648	100.0	GCA_003019295.1	Fusobacterium_nucleatum_subsp._nucleatum_ATCC_25586	2070002	97.67035202814414	2.329647971855863	2082063	2180101	95.5030523815181	HQ proxy	96.63	0.22	True	True	${ARTICLE42_WORK_DIR}/candidates/metabat2-mock1/metabat2-mock1__007.fna	2431254278bb892e93da17694172f57f5968df6670ea6e5de0e29760d8fdcb1a
MetaBAT2-MOCK1-only	metabat2-mock1__008	bin.16.fa	62	1470066	50634	100.0	GCA_000166095.1	Methanothermus_fervidus_DSM_2088	1221036	83.05994424740113	16.940055752598866	1220083	1243342	98.12931598868212	Below MQ proxy	99.11	0.63	False	False	${ARTICLE42_WORK_DIR}/candidates/metabat2-mock1/metabat2-mock1__008.fna	6df1edb36a68bc13f5abb04783e18d09bada8ba809db2c139efa209a0e3e2689
MetaBAT2-MOCK1-only	metabat2-mock1__009	bin.17.fa	120	2023018	26973	100.0	GCA_000010505.1	Porphyromonas_gingivalis_ATCC_33277	2020831	99.89189418976994	0.10810581023005739	2038616	2354886	86.56962587573241	MQ proxy	96.21	0.55	True	True	${ARTICLE42_WORK_DIR}/candidates/metabat2-mock1/metabat2-mock1__009.fna	9affb9532013f27ad75e9fb6dface5a8b0250e21b74aca75120892dccec809f6
MetaBAT2-MOCK1-only	metabat2-mock1__010	bin.18.fa	157	314653	1923	100.0	GCA_000156375.1	Desulfovibrio_piger_ATCC_29098	314653	100.0	0.0	309621	2867216	10.798663232906067	Below MQ proxy	9.99	0.0	True	False	${ARTICLE42_WORK_DIR}/candidates/metabat2-mock1/metabat2-mock1__010.fna	eb53d06842b476824427a3fd95cb9f0c7d00f1ca0e6004a717b4c41b44997e85
MetaBAT2-MOCK1-only	metabat2-mock1__011	bin.19.fa	362	1117177	3424	100.0	GCA_000020785.1	Hydrogenobaculum_sp._Y04AAS1	1108369	99.21158419838575	0.7884158016142493	1113456	1559514	71.39762772248277	MQ proxy	68.79	1.7	True	True	${ARTICLE42_WORK_DIR}/candidates/metabat2-mock1/metabat2-mock1__011.fna	828a7d33a358ca5b8cde8812b1a428af22bb5164bf084f93a0124ca8cdc6f94a
MetaBAT2-MOCK1-only	metabat2-mock1__012	bin.2.fa	12	1733271	443866	99.87774560354381	GCA_000011105.1	Pyrococcus_horikoshii_OT3	1731152	100.0	0.0	1730774	1738505	99.55530757748755	HQ proxy	99.46	0.19	True	True	${ARTICLE42_WORK_DIR}/candidates/metabat2-mock1/metabat2-mock1__012.fna	612656befe4ad9c56f9f56189eaeb44b409775bc837f51c78f49b9bcf46c5bd9
MetaBAT2-MOCK1-only	metabat2-mock1__013	bin.20.fa	138	273206	1882	100.0	GCA_000020225.1	Akkermansia_muciniphila_ATCC_BAA-835	273206	100.0	0.0	273683	2664102	10.272992550585526	Below MQ proxy	9.91	0.0	True	False	${ARTICLE42_WORK_DIR}/candidates/metabat2-mock1/metabat2-mock1__013.fna	9fd2492f17f890ce609afec49a0434698e8aa5435865fa5665b45fe5c6d42c0a
MetaBAT2-MOCK1-only	metabat2-mock1__014	bin.21.fa	516	1696207	3665	98.6368409044415	GCA_000016125.1	Methanococcus_maripaludis_C5	1446607	86.46344925691163	13.53655074308837	1428920	1789046	79.87050081440053	Below MQ proxy	77.47	7.24	False	False	${ARTICLE42_WORK_DIR}/candidates/metabat2-mock1/metabat2-mock1__014.fna	df314ac9842866cba940a59245fa0f03c7e08b6e537daa2e049ad60f5c86af2d
MetaBAT2-MOCK1-only	metabat2-mock1__015	bin.22.fa	2000	4656050	2299	99.4731800560561	GCA_000009225.1	Pseudomonas_fluorescens_SBW25	2744637	59.259949377321185	40.740050622678815	2733122	6722539	40.65609734655314	Below MQ proxy	64.91	13.41	True	False	${ARTICLE42_WORK_DIR}/candidates/metabat2-mock1/metabat2-mock1__015.fna	4af7cd7f6b1356ca2af4c5181774d1bb0703f5297bc283f82092651e2193709d
MetaBAT2-MOCK1-only	metabat2-mock1__016	bin.23.fa	479	1465935	3321	100.0	GCA_000006985.1	Chlorobaculum_tepidum_TLS	1350719	92.14044278907319	7.859557210926809	1353569	2154946	62.812200398525064	MQ proxy	66.52	0.35	False	False	${ARTICLE42_WORK_DIR}/candidates/metabat2-mock1/metabat2-mock1__016.fna	2f548a9897e919ae39ab01d211a8e1ec33518e278f4a8ae1be590caf8521b580
MetaBAT2-MOCK1-only	metabat2-mock1__017	bin.24.fa	108	2062748	41813	99.91622825473591	GCA_001639275.1	Methanobrevibacter_oralis_DSM_7256	2040517	99.00520130809016	0.9947986919098355	2043943	2140433	95.49203362123458	HQ proxy	99.7	0.75	True	True	${ARTICLE42_WORK_DIR}/candidates/metabat2-mock1/metabat2-mock1__017.fna	c6d9e4fc727fc7bd5d61a041ceafade1f80f86e064f3e345e06ffbf487c56778
MetaBAT2-MOCK1-only	metabat2-mock1__018	bin.25.fa	669	6884040	15447	100.0	GCA_000196115.1	Rhodopirellula_baltica_SH_1	6884040	100.0	0.0	6907055	7145576	96.6619765852326	HQ proxy	97.42	3.87	True	True	${ARTICLE42_WORK_DIR}/candidates/metabat2-mock1/metabat2-mock1__018.fna	d6fef3bdb22d717b2e97a85e0fd7c0b6bd6a86bcebc4494af210988876f006a0
MetaBAT2-MOCK1-only	metabat2-mock1__019	bin.26.fa	60	2510361	50296	100.0	GCA_000009145.1	Nitrosomonas_europaea_ATCC_19718	2507983	99.90527258828511	0.09472741171488508	2551168	2812094	90.72129167801646	HQ proxy	96.92	0.02	True	True	${ARTICLE42_WORK_DIR}/candidates/metabat2-mock1/metabat2-mock1__019.fna	b2280a4dabcb1d9e96399256074a5e48117c031d1e421d3dba750df703dfa599
MetaBAT2-MOCK1-only	metabat2-mock1__020	bin.27.fa	59	2156038	68740	100.0	GCA_000019085.1	Thermoanaerobacter_pseudethanolicus_ATCC_33223	2148965	99.67194455756346	0.3280554424365363	2161286	2362816	91.47077047048946	HQ proxy	99.98	0.35	True	True	${ARTICLE42_WORK_DIR}/candidates/metabat2-mock1/metabat2-mock1__020.fna	fd75bb028d9b3b393e4b15d07af7767db21cfe1dffc1bb0e7e3cdbadde5b803b
MetaBAT2-MOCK1-only	metabat2-mock1__021	bin.28.fa	137	315057	2179	100.0	GCA_000009705.1	Trichormus_sp._PCC_7120	191203	60.688383371897785	39.311616628102215	191916	7211789	2.6611427483527317	Below MQ proxy	6.37	0.01	False	False	${ARTICLE42_WORK_DIR}/candidates/metabat2-mock1/metabat2-mock1__021.fna	9fae76e67fcb0dbb58461941d99899f68c081e5752227c731739d8a0ad5d6f86
MetaBAT2-MOCK1-only	metabat2-mock1__022	bin.29.fa	20	376921	67932	100.0	GCA_000009705.1	Trichormus_sp._PCC_7120	371979	98.68884991815261	1.3111500818473871	420797	7211789	5.834849022898479	Below MQ proxy	5.35	0.05	True	False	${ARTICLE42_WORK_DIR}/candidates/metabat2-mock1/metabat2-mock1__022.fna	8cf5aff5f18df7bcd0488b1e62cd4152548c195e64ccaab994b1a840c3fe135d
MetaBAT2-MOCK1-only	metabat2-mock1__023	bin.3.fa	5	1893794	672984	100.0	GCA_000021565.1	Persephonella_marina_EX-H1	1893794	100.0	0.0	1894128	1983966	95.47179739975383	HQ proxy	98.88	0.44	True	True	${ARTICLE42_WORK_DIR}/candidates/metabat2-mock1/metabat2-mock1__023.fna	6368094fa97d5c7e70b54e062f6cda83c8571fab20175eca0d2ffea82607eaf6
MetaBAT2-MOCK1-only	metabat2-mock1__024	bin.30.fa	42	1635307	82868	100.0	GCA_000016785.1	Thermotoga_petrophila_RKU-1	1616327	98.83936166114376	1.160638338856245	1615807	1823511	88.60966563952726	MQ proxy	98.98	0.37	True	True	${ARTICLE42_WORK_DIR}/candidates/metabat2-mock1/metabat2-mock1__024.fna	45f15ad380e366b00eacb985584780c4f5e533aae2a844b7d4208ce5a38e7523
MetaBAT2-MOCK1-only	metabat2-mock1__025	bin.31.fa	50	1896031	48450	100.0	GCA_000016085.1	Chlorobium_phaeovibrioides_DSM_265	1894284	99.90786015629492	0.09213984370508399	1895328	1966858	96.3632351700021	HQ proxy	100.0	0.22	True	True	${ARTICLE42_WORK_DIR}/candidates/metabat2-mock1/metabat2-mock1__025.fna	532640f3ede108828f7a41439aa4e6b64944a6fea2a1b09767a659365d167a7d
MetaBAT2-MOCK1-only	metabat2-mock1__026	bin.32.fa	65	2595739	59244	100.0	GCA_002952055.1	Desulfobulbus_oralis_sp._ONRL	2595739	100.0	0.0	2609947	2774417	94.07190771971193	HQ proxy	99.98	0.21	True	True	${ARTICLE42_WORK_DIR}/candidates/metabat2-mock1/metabat2-mock1__026.fna	622920d94808fdeba7db830f01281eaaf9dec649d07d9c8ca1d04986d796fa14
MetaBAT2-MOCK1-only	metabat2-mock1__027	bin.33.fa	13	4629413	432090	100.0	GCA_000010305.1	Gemmatimonas_aurantiaca_T-27	4629413	100.0	0.0	4630966	4636964	99.87064812234902	HQ proxy	99.95	0.8	True	True	${ARTICLE42_WORK_DIR}/candidates/metabat2-mock1/metabat2-mock1__027.fna	f5dd0161e09ab726d6aefd14d1b23818f2257496217572c8dd5eae2b1890a3bf
MetaBAT2-MOCK1-only	metabat2-mock1__028	bin.4.fa	34	1868594	88409	100.0	GCA_000018945.1	Thermotoga_neapolitana_DSM_4359	1772843	94.87577290733033	5.1242270926696705	1773462	1884562	94.10473096666493	MQ proxy	99.09	1.9	True	True	${ARTICLE42_WORK_DIR}/candidates/metabat2-mock1/metabat2-mock1__028.fna	3b86b0135bf7ad4366c7c5b75eed359561f1a607a3245bbcd7cde2079c8cdabe
MetaBAT2-MOCK1-only	metabat2-mock1__029	bin.5.fa	76	2490170	58955	100.0	GCA_000020465.1	Chlorobium_limicola_DSM_245	2485206	99.80065618010015	0.19934381989985184	2500959	2763181	90.51014030568392	HQ proxy	99.99	0.21	True	True	${ARTICLE42_WORK_DIR}/candidates/metabat2-mock1/metabat2-mock1__029.fna	4aba2925fa45e4482b691964bcc94f921ab8b76dc0734078e84e8d7457dda4f8
MetaBAT2-MOCK1-only	metabat2-mock1__030	bin.6.fa	70	418156	8323	100.0	GCA_000008085.1	Nanoarchaeum_equitans_Kin4-M	414524	99.13142463578185	0.8685753642181453	414408	490885	84.4205873065993	MQ proxy	87.33	0.21	True	True	${ARTICLE42_WORK_DIR}/candidates/metabat2-mock1/metabat2-mock1__030.fna	92ebeaeb64bc0f36a1d1428d01b80f5b12633183fc8144ee0186e739c0f92b2c
MetaBAT2-MOCK1-only	metabat2-mock1__031	bin.7.fa	230	698850	3203	100.0	GCA_001481685.1	Ignicoccus_islandicus_DSM_13165	698850	100.0	0.0	697967	1394664	50.04553067979097	MQ proxy	41.55	0.0	True	False	${ARTICLE42_WORK_DIR}/candidates/metabat2-mock1/metabat2-mock1__031.fna	6df3a3746dc5777b62727310341cdc9da864bebb121b62c1f125b9da4399f494
MetaBAT2-MOCK1-only	metabat2-mock1__032	bin.8.fa	71	2396218	67435	100.0	GCA_000016545.1	Caldicellulosiruptor_saccharolyticus_DSM_8903	2315310	96.62351255186297	3.376487448137027	2312128	2970275	77.84221999646498	MQ proxy	87.86	0.0	True	True	${ARTICLE42_WORK_DIR}/candidates/metabat2-mock1/metabat2-mock1__032.fna	57130e9d7c3920cf4845912633053c12214347e7f057b776e7cdd49911825450
MetaBAT2-MOCK1-only	metabat2-mock1__033	bin.9.fa	268	1073351	4713	100.0	GCA_000017945.1	Ignicoccus_hospitalis_KIN4_I	1073351	100.0	0.0	1069019	1297538	82.38826146132136	MQ proxy	78.76	0.31	True	True	${ARTICLE42_WORK_DIR}/candidates/metabat2-mock1/metabat2-mock1__033.fna	8156c5a438368382f3e8ae0c244044381aae18a12adb9dc9d687d53ca599107d
MetaBAT2-multisample	metabat2-multisample__001	bin.1.fa	2025	4692413	2285	99.42040481091499	GCA_000009225.1	Pseudomonas_fluorescens_SBW25	2758878	59.13719750596757	40.86280249403243	2747187	6722539	40.86531889216262	Below MQ proxy	65.22	14.78	True	False	${ARTICLE42_WORK_DIR}/candidates/metabat2-multisample/metabat2-multisample__001.fna	93d58dbb298168a764dbc8820ebc74a27813b1b541d2f9d0d7e87b0c7a80454d
MetaBAT2-multisample	metabat2-multisample__002	bin.10.fa	505	1344009	2720	100.0	GCA_000015125.1	Chlorobium_phaeobacteroides_DSM_266	1273149	94.727713876916	5.272286123084001	1280859	3133902	40.87106106062028	Below MQ proxy	49.97	0.55	False	False	${ARTICLE42_WORK_DIR}/candidates/metabat2-multisample/metabat2-multisample__002.fna	d05bae8f37dab52bacf74576e8d0018aedd6ba9bd45d8f7f79bc17ad95973589
MetaBAT2-multisample	metabat2-multisample__003	bin.11.fa	50	1896031	48450	100.0	GCA_000016085.1	Chlorobium_phaeovibrioides_DSM_265	1894284	99.90786015629492	0.09213984370508399	1895328	1966858	96.3632351700021	HQ proxy	100.0	0.22	True	True	${ARTICLE42_WORK_DIR}/candidates/metabat2-multisample/metabat2-multisample__003.fna	532640f3ede108828f7a41439aa4e6b64944a6fea2a1b09767a659365d167a7d
MetaBAT2-multisample	metabat2-multisample__004	bin.12.fa	74	215511	2894	100.0	GCA_000017325.1	Shewanella_baltica_OS185	109938	51.012709328062144	48.987290671937856	112110	5312910	2.1101430289615295	Below MQ proxy	4.72	0.02	False	False	${ARTICLE42_WORK_DIR}/candidates/metabat2-multisample/metabat2-multisample__004.fna	80c3c1399faf4553817c59d6bef4ae856fa81e668fcbabf248712be98b8513d9
MetaBAT2-multisample	metabat2-multisample__005	bin.13.fa	269	1078802	4753	100.0	GCA_000017945.1	Ignicoccus_hospitalis_KIN4_I	1078802	100.0	0.0	1074470	1297538	82.80836476465429	MQ proxy	78.77	0.31	True	True	${ARTICLE42_WORK_DIR}/candidates/metabat2-multisample/metabat2-multisample__005.fna	000638abaf26cf2654bf9700f9830b8b31fd367f6be9d608b604033ce9fef676
MetaBAT2-multisample	metabat2-multisample__006	bin.14.fa	87	2561003	67277	100.0	GCA_000016545.1	Caldicellulosiruptor_saccharolyticus_DSM_8903	2482164	96.92155768657827	3.078442313421732	2484226	2970275	83.63622896869819	MQ proxy	89.22	0.06	True	True	${ARTICLE42_WORK_DIR}/candidates/metabat2-multisample/metabat2-multisample__006.fna	7d6bf807688130c9a891d4d715a608f94513340da7ccf7183500adcb0ca59018
MetaBAT2-multisample	metabat2-multisample__007	bin.15.fa	528	1702430	3612	98.64182374605711	GCA_000016125.1	Methanococcus_maripaludis_C5	1457349	86.78271049741917	13.217289502580826	1438537	1789046	80.40804987686175	Below MQ proxy	77.31	7.39	False	False	${ARTICLE42_WORK_DIR}/candidates/metabat2-multisample/metabat2-multisample__007.fna	2598b36faa15688cd0b1ba852e12d26ebf2e410f9d5b7bc5e1d2ad7e7be5f68f
MetaBAT2-multisample	metabat2-multisample__008	bin.16.fa	72	2575200	50296	100.0	GCA_000009145.1	Nitrosomonas_europaea_ATCC_19718	2562048	99.48928238583412	0.510717614165884	2578438	2812094	91.69103166537107	HQ proxy	99.98	0.06	True	True	${ARTICLE42_WORK_DIR}/candidates/metabat2-multisample/metabat2-multisample__008.fna	81abc5afae69006fdfca04e97708181a09331fca546adf115b78fd7ae40b90bd
