seqname	dsDNAphage	ssDNA	max_score	max_score_group	length	hallmark	viral	cellular
2012990006_____JC3AJCVIAssemblies_1106445189670||full	1.000	0.840	1.000	dsDNAphage	23343	2	39.600	0.000
2013338001_____MeugFOFF_C1474||full	0.987	0.073	0.987	dsDNAphage	13325	3	55.600	0.000
2013338001_____MeugFOFF_C2873||full	1.000	0.273	1.000	dsDNAphage	15681	5	69.600	0.000
2013338001_____MeugFOFF_C2874||full	0.993	0.227	0.993	dsDNAphage	13566	6	80.000	0.000
2013338001_____MeugFOFF_C3211||full	1.000	0.200	1.000	dsDNAphage	9836	3	57.100	0.000
2013338001_____MeugFOFF_C3227||full	0.987	0.053	0.987	dsDNAphage	5489	2	40.000	10.000
2013338001_____MeugFOFF_C3886||full	0.927	0.033	0.927	dsDNAphage	5081	1	66.700	16.700
2013338001_____MeugFOFF_C4026||full	0.980	0.247	0.980	dsDNAphage	11394	3	45.500	0.000
2013338001_____MeugFOFF_C4295||full	0.973	0.120	0.973	dsDNAphage	8892	4	60.000	10.000
2013338001_____MeugFOFF_C4795||full	1.000	0.827	1.000	dsDNAphage	5092	3	100.000	0.000
2013338001_____MeugFOFF_C5216||full	0.993	0.540	0.993	dsDNAphage	5385	1	66.700	0.000
2013843001_____PLMO_C1010||full	0.980	0.040	0.980	dsDNAphage	7640	4	54.500	18.200
2013843001_____PLMO_C1011||full	0.993	0.053	0.993	dsDNAphage	20094	10	70.400	7.400
2013843001_____PLMO_C1280||full	0.967	0.013	0.967	dsDNAphage	23245	1	13.600	4.500
2013843001_____PLMO_C1410||full	0.960	0.080	0.960	dsDNAphage	6539	0	23.500	5.900
2013843001_____PLMO_C1550||full	0.913	0.113	0.913	dsDNAphage	11459	0	40.900	0.000
2013843001_____PLMO_C2323||full	0.893	0.200	0.893	dsDNAphage	10741	0	60.000	0.000
2013843001_____PLMO_C2429||full	1.000	0.073	1.000	dsDNAphage	49519	9	55.900	1.500
2013843001_____PLMO_C243||full	0.967	0.087	0.967	dsDNAphage	10296	3	58.300	0.000
2013843001_____PLMO_C2782||full	1.000	0.027	1.000	dsDNAphage	26566	1	37.800	2.200
2013843001_____PLMO_C312||full	1.000	0.020	1.000	dsDNAphage	16284	1	35.000	5.000
2013843001_____PLMO_C42||full	0.987	0.500	0.987	dsDNAphage	5911	5	77.800	0.000
2013843001_____PLMO_C457||full	0.987	0.027	0.987	dsDNAphage	8812	5	61.500	15.400
2013843002_____DCKB1_C3122||full	1.000	0.527	1.000	dsDNAphage	7901	1	38.500	0.000
2013843003_____YNP4_C4539||full	0.993	0.880	0.993	dsDNAphage	8256	1	44.400	0.000
2013843003_____YNP4_C4540||full	0.927	0.907	0.927	dsDNAphage	5949	0	66.700	0.000
2013954001_____YNP14_C4148||full	0.987	0.587	0.987	dsDNAphage	8732	2	40.000	0.000
2013954001_____YNP14_C558||full	0.947	0.580	0.947	dsDNAphage	7001	1	42.900	0.000
2014031003_____YNP3_C2415||full	0.940	0.560	0.940	dsDNAphage	10563	6	81.800	0.000
2014031003_____YNP3_C3059||full	0.593	0.587	0.593	dsDNAphage	6079	0	25.000	0.000
UHGV-0018530||full	0.993	0.020	0.993	dsDNAphage	134917	9	56.500	1.300
UHGV-0000346||full	0.987	0.620	0.987	dsDNAphage	7025	5	63.600	0.000
UHGV-0215553||full	0.973	0.053	0.973	dsDNAphage	15434	2	27.600	3.400
UHGV-0018535||full	1.000	0.007	1.000	dsDNAphage	76370	6	39.700	0.000
UHGV-0001702||full	1.000	0.067	1.000	dsDNAphage	32835	5	50.900	1.800
UHGV-0001715||full	0.980	0.060	0.980	dsDNAphage	29445	6	44.800	3.400
2013338002_____MeugFWYF_C6159||full	0.993	0.500	0.993	dsDNAphage	5125	3	77.800	0.000
2013338002_____MeugFWYF_C6321||full	0.993	0.380	0.993	dsDNAphage	13807	14	90.000	0.000
2013843002_____DCKB1_C1454||full	0.993	0.033	0.993	dsDNAphage	36079	9	67.500	7.500
2013843002_____DCKB1_C2382||full	0.773	0.020	0.773	dsDNAphage	70222	0	60.000	8.000
2013843002_____DCKB1_C2547||full	1.000	0.007	1.000	dsDNAphage	26959	7	47.900	4.200
2013843002_____DCKB1_C3067||full	0.873	0.040	0.873	dsDNAphage	6529	0	41.700	8.300
2013843002_____DCKB1_C717||full	0.873	0.033	0.873	dsDNAphage	25333	0	53.800	7.700
