MEROPS peptidase ID	SGB_001 Hit numbers	SGB_001 Hits	SGB_002 Hit numbers	SGB_002 Hits	SGB_003 Hit numbers	SGB_003 Hits	SGB_004 Hit numbers	SGB_004 Hits	SGB_005 Hit numbers	SGB_005 Hits	SGB_006 Hit numbers	SGB_006 Hits	SGB_007 Hit numbers	SGB_007 Hits	SGB_008 Hit numbers	SGB_008 Hits	SGB_009 Hit numbers	SGB_009 Hits	SGB_010 Hit numbers	SGB_010 Hits	SGB_011 Hit numbers	SGB_011 Hits	SGB_012 Hit numbers	SGB_012 Hits	SGB_013 Hit numbers	SGB_013 Hits	SGB_014 Hit numbers	SGB_014 Hits	SGB_015 Hit numbers	SGB_015 Hits	SGB_016 Hit numbers	SGB_016 Hits	SGB_017 Hit numbers	SGB_017 Hits	SGB_018 Hit numbers	SGB_018 Hits	SGB_019 Hit numbers	SGB_019 Hits	SGB_020 Hit numbers	SGB_020 Hits	SGB_021 Hit numbers	SGB_021 Hits	SGB_022 Hit numbers	SGB_022 Hits	SGB_023 Hit numbers	SGB_023 Hits	SGB_024 Hit numbers	SGB_024 Hits	TRUNC_050 Hit numbers	TRUNC_050 Hits	TRUNC_070 Hit numbers	TRUNC_070 Hits	TRUNC_090 Hit numbers	TRUNC_090 Hits	TRUNC_100 Hit numbers	TRUNC_100 Hits
A08	1	SGB_001__k141_27838_44	1	SGB_002__k141_40894_30	1	SGB_003__k141_30952_3	1	SGB_004__k141_50442_53	1	SGB_005__k141_21202_44	1	SGB_006__k141_41879_7	1	SGB_007__k141_23405_36	0	None	0	None	0	None	0	None	1	SGB_012__k141_4004_11	0	None	1	SGB_014__k141_41396_326	1	SGB_015__k141_36366_7	2	SGB_016__k141_12475_4;SGB_016__k141_3460_53	1	SGB_017__k141_298_13	0	None	0	None	0	None	1	SGB_021__k141_29097_19	1	SGB_022__k141_51277_103	0	None	0	None	1	TRUNC_050__k141_40894_30	1	TRUNC_070__k141_40894_30	1	TRUNC_090__k141_40894_30	1	TRUNC_100__k141_40894_30
A22B	0	None	0	None	0	None	0	None	0	None	0	None	0	None	0	None	0	None	0	None	0	None	0	None	0	None	0	None	0	None	0	None	0	None	0	None	0	None	1	SGB_020__k141_27977_11	0	None	0	None	0	None	0	None	0	None	0	None	0	None	0	None
A24A	1	SGB_001__k141_26045_20	1	SGB_002__k141_21507_113	0	None	1	SGB_004__k141_50442_29	0	None	0	None	1	SGB_007__k141_55915_35	0	None	0	None	0	None	0	None	1	SGB_012__k141_47257_24	0	None	1	SGB_014__k141_41396_739	1	SGB_015__k141_49173_3	1	SGB_016__k141_2482_10	1	SGB_017__k141_8264_119	0	None	0	None	0	None	1	SGB_021__k141_55291_3	0	None	1	SGB_023__k141_2179_88	1	SGB_024__k141_38992_114	1	TRUNC_050__k141_21507_113	1	TRUNC_070__k141_21507_113	1	TRUNC_090__k141_21507_113	1	TRUNC_100__k141_21507_113
A24B	0	None	0	None	0	None	0	None	0	None	0	None	0	None	0	None	0	None	2	SGB_010__k141_3193_39;SGB_010__k141_36649_32	0	None	0	None	1	SGB_013__k141_25951_3	0	None	0	None	0	None	0	None	0	None	0	None	0	None	1	SGB_021__k141_39930_1	0	None	0	None	0	None	0	None	0	None	0	None	0	None
A24X	0	None	0	None	0	None	0	None	0	None	0	None	0	None	0	None	0	None	0	None	0	None	0	None	0	None	0	None	0	None	1	SGB_016__k141_25469_9	0	None	0	None	0	None	0	None	0	None	1	SGB_022__k141_27649_48	0	None	0	None	0	None	0	None	0	None	0	None
A25	0	None	0	None	0	None	0	None	0	None	0	None	0	None	0	None	0	None	0	None	0	None	0	None	0	None	0	None	0	None	1	SGB_016__k141_4872_10	1	SGB_017__k141_24531_14	0	None	0	None	0	None	0	None	0	None	0	None	0	None	0	None	0	None	0	None	0	None
A31	1	SGB_001__k141_43636_32	0	None	0	None	0	None	1	SGB_005__k141_24612_7	1	SGB_006__k141_9948_2	0	None	0	None	1	SGB_009__k141_46675_1	3	SGB_010__k141_34457_37;SGB_010__k141_4887_39;SGB_010__k141_53511_14	2	SGB_011__k141_12454_11;SGB_011__k141_46461_77	0	None	4	SGB_013__k141_20602_2;SGB_013__k141_21857_2;SGB_013__k141_32091_6;SGB_013__k141_37800_4	0	None	1	SGB_015__k141_20957_3	0	None	0	None	0	None	2	SGB_019__k141_22175_13;SGB_019__k141_56778_3	0	None	0	None	1	SGB_022__k141_53907_301	0	None	0	None	0	None	0	None	0	None	0	None
A36	0	None	0	None	0	None	0	None	0	None	0	None	0	None	0	None	0	None	0	None	0	None	0	None	0	None	0	None	0	None	1	SGB_016__k141_28921_76	0	None	0	None	0	None	0	None	0	None	0	None	0	None	0	None	0	None	0	None	0	None	0	None
A39	3	SGB_001__k141_22323_4;SGB_001__k141_26045_3;SGB_001__k141_27838_35	0	None	0	None	0	None	0	None	0	None	0	None	0	None	0	None	0	None	0	None	0	None	0	None	0	None	0	None	0	None	0	None	0	None	0	None	0	None	0	None	0	None	0	None	0	None	0	None	0	None	0	None	0	None
C01A	0	None	0	None	1	SGB_003__k141_38587_41	0	None	0	None	0	None	0	None	0	None	0	None	0	None	0	None	0	None	0	None	0	None	0	None	0	None	0	None	0	None	0	None	0	None	1	SGB_021__k141_37368_3	0	None	0	None	0	None	0	None	0	None	0	None	0	None
