GeneID	EvidenceTier	BestHitARO	IdentityPercent	ReferenceLengthPercent	ModelType
megahit-co__c000122_2	Strict	Escherichia coli EF-Tu mutants conferring resistance to Pulvomycin	87.79	96.58	protein variant model
megahit-co__c000952_24	Strict	vanT gene in vanG cluster	35.54	115.73	protein homolog model
megahit-co__c001869_2	Strict	Acinetobacter baumannii AbaQ	72.58	101.61	protein homolog model
megahit-co__c002265_23	Strict	qacJ	38.68	102.80	protein homolog model
megahit-co__c003459_16	Strict	pgpB	99.58	101.27	protein homolog model
megahit-co__c003638_3	Strict	vanT gene in vanG cluster	34.6	52.53	protein homolog model
megahit-co__c004340_22	Strict	adeF	46.17	98.02	protein homolog model
megahit-co__c004520_18	Strict	vanY gene in vanM cluster	34.07	108.58	protein homolog model
megahit-co__c006156_14	Strict	vanG	40.79	103.15	protein homolog model
megahit-co__c007306_31	Strict	vanW gene in vanI cluster	33.19	173.46	protein homolog model
megahit-co__c007977_3	Strict	qacJ	40.19	101.87	protein homolog model
megahit-co__c008352_1	Strict	adeF	64.29	86.12	protein homolog model
megahit-co__c009576_9	Strict	qacG	46.53	101.87	protein homolog model
megahit-co__c012668_22	Strict	vanW gene in vanI cluster	30.45	123.06	protein homolog model
megahit-co__c012847_67	Strict	vanG	45.76	104.58	protein homolog model
megahit-co__c013106_3	Strict	vanW gene in vanI cluster	32.94	184.18	protein homolog model
megahit-co__c013149_2	Strict	qacJ	40.21	100.00	protein homolog model
megahit-co__c014728_12	Strict	vanT gene in vanG cluster	38.63	54.63	protein homolog model
megahit-co__c014764_35	Strict	vanW gene in vanI cluster	32.5	128.95	protein homolog model
megahit-co__c015054_413	Strict	vanT gene in vanG cluster	37.03	50.56	protein homolog model
megahit-co__c015875_6	Strict	vanW gene in vanG cluster	42.51	100.71	protein homolog model
megahit-co__c016042_1	Strict	FosA8	59.66	85.11	protein homolog model
megahit-co__c016259_16	Strict	adeF	50.24	99.43	protein homolog model
megahit-m1__c002841_48	Strict	vanW gene in vanI cluster	39.29	131.37	protein homolog model
megahit-m1__c003500_5	Strict	Escherichia coli EF-Tu mutants conferring resistance to Pulvomycin	87.28	96.58	protein variant model
megahit-m1__c004517_3	Strict	rsmA	86.67	108.20	protein homolog model
megahit-m1__c008643_21	Strict	adeF	43.99	100.57	protein homolog model
megahit-m1__c009663_2	Strict	vanT gene in vanG cluster	37.26	119.66	protein homolog model
megahit-m1__c010812_2	Strict	qacG	41.9	113.08	protein homolog model
megahit-m1__c013040_1	Strict	OXA-551	97.63	100.34	protein homolog model
megahit-m2__c001383_1	Strict	adeF	59.8	65.44	protein homolog model
megahit-m2__c002747_33	Strict	vanT gene in vanG cluster	39.3	54.49	protein homolog model
megahit-m2__c004442_3	Strict	vanT gene in vanG cluster	33.06	49.86	protein homolog model
megahit-m2__c004567_2	Strict	vanY gene in vanB cluster	35.0	127.99	protein homolog model
megahit-m2__c005035_16	Strict	qacG	42.45	102.80	protein homolog model
megahit-m2__c005400_3	Strict	adeF	57.82	99.06	protein homolog model
