seq_name	length	topology	coordinates	n_genes	genetic_code	virus_score	fdr	n_hallmarks	marker_enrichment	taxonomy
vB_Eco_mar003J3|LR027389.1	115471	DTR	NA	166	11	0.9827	NA	11	230.4561	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;Demerecviridae
S-RSM4|FM207411.1	194454	No terminal repeats	NA	218	11	0.9824	NA	38	340.1031	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;Kyanoviridae
phix174|NC_001422.1	5386	No terminal repeats	NA	8	11	0.9820	NA	2	10.3097	Viruses;Monodnaviria;Sangervirae;Phixviricota;Malgrandaviricetes;Petitvirales;Microviridae
PARMAL1|OQ376858.1	44565	DTR	NA	51	11	0.9818	NA	7	41.3463	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;Autographiviridae
DSS3_PM1|MN602267.1	70044	DTR	NA	101	11	0.9817	NA	12	73.7046	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;Naomviridae
vB_Eco_mar001J1|LR027388.1	50343	DTR	NA	80	11	0.9814	NA	19	112.1716	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;Drexlerviridae
vB_Eco_mar005P1|LR027390.1	167773	DTR	NA	262	11	0.9814	NA	82	399.9997	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;Straboviridae
vB_Eco_SLUR29|NC_054895.1	48466	No terminal repeats	NA	79	11	0.9811	NA	19	111.5991	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;Drexlerviridae
vB_Eco_mar002J2|LR027385.1	50343	DTR	NA	80	11	0.9811	NA	18	112.6391	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;Drexlerviridae
KUW1|OQ376857.1	44509	DTR	NA	53	11	0.9809	NA	8	50.7494	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;Autographiviridae
vB_EcoS_swan01|LT841304.1	50865	DTR	NA	85	11	0.9801	NA	18	113.0822	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;Drexlerviridae
vB_Vpa_sm033|OV032902.1	320253	DTR	NA	312	11	0.9796	NA	8	95.2519	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
vB_VpaS_sm032|OV032860.1	79660	DTR	NA	112	11	0.9785	NA	4	87.2316	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
CDMH1|NC_024144.1	54279	No terminal repeats	NA	85	11	0.9712	NA	11	102.2812	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
HP1|NC_001697.1	32355	No terminal repeats	NA	44	11	0.9712	NA	12	53.2839	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
