Genome	GenomeID	SourceStage	SourceBranch	Completeness	Contamination	MIMAGQuality	Contigs	GenomeBp	N50Bp	SHA256	Path
binette__001.fna	binette__001	Article44-selected	Binette selected set	99.99	0.02	Medium quality	92	2770249	67435	da074711c9d8a43d626640d99ded6444f1deaca3348e0720dd7d091a6c4f4290	${ARTICLE45_WORK_DIR}/inputs/genomes/binette__001.fna
binette__002.fna	binette__002	Article44-selected	Binette selected set	99.98	0.31	Medium quality	57	2151032	68740	73842ce20cfa7e89413c7d161072d3fbd265f884fc4eda97097dc314ac4607d4	${ARTICLE45_WORK_DIR}/inputs/genomes/binette__002.fna
binette__003.fna	binette__003	Article44-selected	Binette selected set	100.0	0.49	Medium quality	6	1910339	672984	35d7b3ed3d8295ebdcd0d79fd512e3efee1582f24cc36bb8179807815f1dd6aa	${ARTICLE45_WORK_DIR}/inputs/genomes/binette__003.fna
binette__004.fna	binette__004	Article44-selected	Binette selected set	99.79	0.53	Medium quality	106	2045345	41813	79ca0113327ca98aee8fa1cbb0b56a5c4aa9a4e1b1bf2da0eabe481908324b26	${ARTICLE45_WORK_DIR}/inputs/genomes/binette__004.fna
binette__005.fna	binette__005	Article44-selected	Binette selected set	99.47	0.19	High quality	14	1736697	443866	50af7f6afa2a049f3ddcab14c3f7f9f8ac50e0a7df9091a462381af260bf6df6	${ARTICLE45_WORK_DIR}/inputs/genomes/binette__005.fna
binette__006.fna	binette__006	Article44-selected	Binette selected set	99.94	0.79	High quality	13	4629413	432090	f5dd0161e09ab726d6aefd14d1b23818f2257496217572c8dd5eae2b1890a3bf	${ARTICLE45_WORK_DIR}/inputs/genomes/binette__006.fna
binette__007.fna	binette__007	Article44-selected	Binette selected set	99.5	0.45	Medium quality	31	1772843	88409	59ca1e9e2bd2d44885bc9f7d1fef25a15daa36ce2efcff633f13215e19426086	${ARTICLE45_WORK_DIR}/inputs/genomes/binette__007.fna
binette__008.fna	binette__008	Article44-selected	Binette selected set	98.69	0.55	Medium quality	126	2039351	26973	967a05d2ab0adc374f33378f6009c3ab244f39ee868fdce056db73690b85d3b4	${ARTICLE45_WORK_DIR}/inputs/genomes/binette__008.fna
binette__009.fna	binette__009	Article44-selected	Binette selected set	98.68	0.29	Medium quality	283	2147088	11618	88d4ba3a1f67c50c0ebc7d85dec2279e7313562b7be572dae13100064ad25c51	${ARTICLE45_WORK_DIR}/inputs/genomes/binette__009.fna
binette__011.fna	binette__011	Article44-selected	Binette selected set	97.85	3.87	High quality	682	6915991	15347	d22e98a635a8a093307d452293f1a51ee5984376530952e790f437bf416d5f2b	${ARTICLE45_WORK_DIR}/inputs/genomes/binette__011.fna
binette__012.fna	binette__012	Article44-selected	Binette selected set	100.0	0.04	High quality	77	2643322	47024	15114bf6c8fe4894a3bd1e74247c393c4ace98dd8d1947a3c5cff20ef6b0d7ec	${ARTICLE45_WORK_DIR}/inputs/genomes/binette__012.fna
binette__013.fna	binette__013	Article44-selected	Binette selected set	87.33	0.21	Medium quality	70	418156	8323	92ebeaeb64bc0f36a1d1428d01b80f5b12633183fc8144ee0186e739c0f92b2c	${ARTICLE45_WORK_DIR}/inputs/genomes/binette__013.fna
binette__014.fna	binette__014	Article44-selected	Binette selected set	99.58	7.36	Medium quality	996	5073077	6633	7a6bae8324de5738961f6cecc42d9e50801ce2de695f004f9549575464d2803c	${ARTICLE45_WORK_DIR}/inputs/genomes/binette__014.fna
binette__015.fna	binette__015	Article44-selected	Binette selected set	78.95	0.29	Medium quality	272	1083632	4753	60f4d611291f401f2c8ee007c94b56e153df13a4e0cb5cc74eafab162a97cd33	${ARTICLE45_WORK_DIR}/inputs/genomes/binette__015.fna
binette__017.fna	binette__017	Article44-selected	Binette selected set	69.48	1.49	Medium quality	361	1122363	3441	77dd3ddcb37573eca9b1c84cf2bce0633d5f5b3d67c5a271c1600632bf12a4f5	${ARTICLE45_WORK_DIR}/inputs/genomes/binette__017.fna
binette__018.fna	binette__018	Article44-selected	Binette selected set	72.13	3.33	Medium quality	380	1366218	4054	60e4ebfabd300bea9ee4d66d50ec594098fcb7a39f6ae2a9dc070f7aeb967f6b	${ARTICLE45_WORK_DIR}/inputs/genomes/binette__018.fna
binette__019.fna	binette__019	Article44-selected	Binette selected set	59.42	0.0	Medium quality	324	946551	3170	64d3c938ec6fec17483b576ac6f8466c9517b6bd2476f43804ba6aae73030f68	${ARTICLE45_WORK_DIR}/inputs/genomes/binette__019.fna
binette__021.fna	binette__021	Article44-selected	Binette selected set	100.0	0.06	Medium quality	48	1859642	48450	ce8e021af9fa69702a64dde572c32832261e73f2f9da67008e0a4cccb395b33d	${ARTICLE45_WORK_DIR}/inputs/genomes/binette__021.fna
