user_genome	classification	closest_genome_reference	closest_genome_reference_radius	closest_genome_taxonomy	closest_genome_ani	closest_genome_af	closest_placement_reference	closest_placement_radius	closest_placement_taxonomy	closest_placement_ani	closest_placement_af	pplacer_taxonomy	classification_method	note	other_related_references(genome_id,species_name,radius,ANI,AF)	msa_percent	translation_table	red_value	warnings
SGB_001	d__Bacteria;p__Desulfobacterota;c__Desulfobulbia;o__Desulfobulbales;f__Desulfobulbaceae;g__Desulfobulbus;s__Desulfobulbus oralis	GCF_002952055.1	95.0	d__Bacteria;p__Desulfobacterota;c__Desulfobulbia;o__Desulfobulbales;f__Desulfobulbaceae;g__Desulfobulbus;s__Desulfobulbus oralis	99.99	1.0	N/A	N/A	N/A	N/A	N/A	N/A	ani_screen	classification based on ANI only	N/A	N/A	N/A	N/A	N/A
SGB_002	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Burkholderiales;f__Nitrosomonadaceae;g__Nitrosomonas;s__Nitrosomonas europaea	GCF_900167395.1	95.0	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Burkholderiales;f__Nitrosomonadaceae;g__Nitrosomonas;s__Nitrosomonas europaea	99.9	0.998	N/A	N/A	N/A	N/A	N/A	N/A	ani_screen	classification based on ANI only	GCF_040256045.1, s__Nitrosomonas sp040256045, 95.0, 90.02, 0.627	N/A	N/A	N/A	N/A
SGB_003	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Porphyromonadaceae;g__Porphyromonas;s__Porphyromonas gingivalis	GCF_000010505.1	95.0	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Porphyromonadaceae;g__Porphyromonas;s__Porphyromonas gingivalis	99.97	0.994	N/A	N/A	N/A	N/A	N/A	N/A	ani_screen	classification based on ANI only	GCF_000378065.1, s__Porphyromonas gulae, 95.0, 92.95, 0.73	N/A	N/A	N/A	N/A
SGB_004	d__Bacteria;p__Bacteroidota;c__Chlorobiia;o__Chlorobiales;f__Chlorobiaceae;g__Chlorobium;s__Chlorobium phaeovibrioides	GCF_003968655.1	95.0	d__Bacteria;p__Bacteroidota;c__Chlorobiia;o__Chlorobiales;f__Chlorobiaceae;g__Chlorobium;s__Chlorobium phaeovibrioides	98.76	0.898	N/A	N/A	N/A	N/A	N/A	N/A	ani_screen	classification based on ANI only	GCA_013203905.1, s__Chlorobium sp013203905, 95.0, 89.45, 0.67; GCA_030765725.1, s__Chlorobium antarcticum, 95.0, 85.56, 0.405	N/A	N/A	N/A	N/A
SGB_005	d__Bacteria;p__Bacteroidota;c__Chlorobiia;o__Chlorobiales;f__Chlorobiaceae;g__Chlorobium;s__Chlorobium limicola	GCF_000020465.1	95.0	d__Bacteria;p__Bacteroidota;c__Chlorobiia;o__Chlorobiales;f__Chlorobiaceae;g__Chlorobium;s__Chlorobium limicola	99.96	0.996	N/A	N/A	N/A	N/A	N/A	N/A	ani_screen	classification based on ANI only	GCF_001509575.1, s__Chlorobium limicola_A, 95.0, 93.24, 0.713; GCA_020721225.1, s__Chlorobium luteolum_C, 95.0, 93.32, 0.715	N/A	N/A	N/A	N/A
SGB_006	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Enterobacterales;f__Shewanellaceae;g__Shewanella;s__Shewanella baltica	GCF_900456975.1	95.0	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Enterobacterales;f__Shewanellaceae;g__Shewanella;s__Shewanella baltica	97.21	0.824	N/A	N/A	N/A	N/A	N/A	N/A	ani_screen	classification based on ANI only	GCF_900156405.1, s__Shewanella morhuae, 95.0, 87.75, 0.271; GCF_012584455.1, s__Shewanella oncorhynchi, 95.0, 91.22, 0.595; GCF_024197625.1, s__Shewanella sp024197625, 95.0, 87.61, 0.225; GCF_019655335.1, s__Shewanella hafniensis, 95.0, 94.18, 0.73; GCF_016406305.1, s__Shewanella putrefaciens_C, 95.0, 87.52, 0.226; GCF_002783505.1, s__Shewanella sp002783505, 95.0, 88.76, 0.268; GCF_023283765.1, s__Shewanella profunda, 95.0, 87.97, 0.207; GCF_000217915.1, s__Shewanella sp000217915, 95.0, 88.2, 0.249; GCA_051652445.1, s__Shewanella sp051652445, 95.0, 88.59, 0.326; GCF_023283485.1, s__Shewanella glacialipiscicola, 95.0, 87.98, 0.288; GCF_016406325.1, s__Shewanella putrefaciens, 95.0, 87.62, 0.231	N/A	N/A	N/A	N/A
SGB_007	d__Bacteria;p__Chloroflexota;c__Chloroflexia;o__Chloroflexales;f__Herpetosiphonaceae;g__Herpetosiphon;s__Herpetosiphon aurantiacus	GCA_000018565.1	95.0	d__Bacteria;p__Chloroflexota;c__Chloroflexia;o__Chloroflexales;f__Herpetosiphonaceae;g__Herpetosiphon;s__Herpetosiphon aurantiacus	99.97	0.997	N/A	N/A	N/A	N/A	N/A	N/A	ani_screen	classification based on ANI only	GCA_020161265.1, s__Herpetosiphon sp020161265, 95.0, 94.06, 0.755; GCF_042688385.1, s__Herpetosiphon sp042688385, 95.0, 85.24, 0.31; GCF_016907925.1, s__Herpetosiphon giganteus, 95.0, 85.41, 0.321; GCF_001306135.1, s__Herpetosiphon geysericola, 95.0, 85.4, 0.306; GCF_003205875.1, s__Herpetosiphon llansteffanensis, 95.0, 85.18, 0.305; GCF_039545135.1, s__Herpetosiphon gulosus, 95.0, 91.53, 0.652; GCA_963767035.1, s__Herpetosiphon sp963767035, 95.0, 85.45, 0.329	N/A	N/A	N/A	N/A
SGB_012	d__Bacteria;p__Fusobacteriota;c__Fusobacteriia;o__Fusobacteriales;f__Fusobacteriaceae;g__Fusobacterium;s__Fusobacterium nucleatum	GCF_031191795.1	95.0	d__Bacteria;p__Fusobacteriota;c__Fusobacteriia;o__Fusobacteriales;f__Fusobacteriaceae;g__Fusobacterium;s__Fusobacterium nucleatum	99.96	0.969	N/A	N/A	N/A	N/A	N/A	N/A	ani_screen	classification based on ANI only	GCF_037889385.1, s__Fusobacterium nucleatum_K, 95.0, 95.0, 0.729; GCF_002763915.1, s__Fusobacterium periodonticum_D, 95.08, 85.68, 0.214; GCF_002761955.1, s__Fusobacterium pseudoperiodonticum, 95.0, 85.09, 0.21; GCA_965278035.1, s__Fusobacterium paranimalis, 95.0, 91.21, 0.525; GCF_965119615.1, s__Fusobacterium watanabei, 95.0, 91.27, 0.592; GCA_037898445.1, s__Fusobacterium nucleatum_D, 95.0, 91.33, 0.52; GCF_050231725.1, s__Fusobacterium nucleatum_L, 95.0, 89.63, 0.536; GCF_016724785.1, s__Fusobacterium canifelinum, 95.0, 92.56, 0.627; GCF_000160475.1, s__Fusobacterium periodonticum, 95.0, 86.09, 0.229; GCF_000235465.1, s__Fusobacterium sp000235465, 95.0, 87.22, 0.276; GCA_963526615.1, s__Fusobacterium sp963526615, 95.0, 91.32, 0.546; GCA_000182945.1, s__Fusobacterium vincentii, 95.0, 92.02, 0.53; GCF_000158275.2, s__Fusobacterium animalis, 95.0, 90.99, 0.518; GCA_963524875.1, s__Fusobacterium sp963524875, 95.0, 91.45, 0.598; GCF_001457555.1, s__Fusobacterium polymorphum, 95.0, 91.6, 0.581; GCF_026089295.1, s__Fusobacterium simiae, 95.0, 88.62, 0.43; GCA_963537515.1, s__Fusobacterium sp963537515, 95.0, 89.47, 0.378; GCF_014217355.1, s__Fusobacterium hwasookii, 95.0, 90.66, 0.547; GCF_000163935.1, s__Fusobacterium periodonticum_B, 95.0, 85.5, 0.217	N/A	N/A	N/A	N/A
SGB_014	d__Bacteria;p__Aquificota;c__Aquificia;o__Aquificales;f__Hydrogenothermaceae;g__Persephonella;s__Persephonella marina	GCF_000021565.1	95.0	d__Bacteria;p__Aquificota;c__Aquificia;o__Aquificales;f__Hydrogenothermaceae;g__Persephonella;s__Persephonella marina	100.0	1.0	N/A	N/A	N/A	N/A	N/A	N/A	ani_screen	classification based on ANI only	GCA_964519345.1, s__Persephonella sp964519345, 95.0, 80.97, 0.17	N/A	N/A	N/A	N/A
SGB_015	d__Bacteria;p__Aquificota;c__Aquificia;o__Aquificales;f__Aquificaceae;g__Hydrogenobaculum;s__Hydrogenobaculum sp003543175	GCF_000020785.1	95.0	d__Bacteria;p__Aquificota;c__Aquificia;o__Aquificales;f__Aquificaceae;g__Hydrogenobaculum;s__Hydrogenobaculum sp003543175	99.91	0.983	N/A	N/A	N/A	N/A	N/A	N/A	ani_screen	classification based on ANI only	GCA_002878215.1, s__Hydrogenobaculum sp002878215, 95.0, 89.85, 0.335; GCF_000213785.1, s__Hydrogenobaculum sp000213785, 95.0, 94.62, 0.751	N/A	N/A	N/A	N/A
