seqname	trim_orf_index_start	trim_orf_index_end	trim_bp_start	trim_bp_end	trim_pr	trim_pr_max	prox_orf_index_start	prox_orf_index_end	prox_bp_start	prox_bp_end	prox_pr	prox_pr_max	partial	full_orf_index_start	full_orf_index_end	full_bp_start	full_bp_end	pr_full	arc	bac	euk	vir	mix	unaligned	hallmark_cnt	group	shape	seqname_new	final_max_score	final_max_score_group
UHGV-0215553	1	29	2	15435	0.973	0.973	1	29	2	15435	NA	NA	0	1	29	2	15435	0.973	0.0	3.4	0.0	27.6	0.0	69.0	2	dsDNAphage	linear	UHGV-0215553||full	0.973	dsDNAphage
UHGV-0018535	1	78	496	76865	1.0	1.0	1	78	496	76865	NA	NA	0	1	78	496	76865	1.0	0.0	0.0	0.0	39.7	2.6	57.7	6	dsDNAphage	linear	UHGV-0018535||full	1.0	dsDNAphage
UHGV-0018530	1	154	124	135040	0.993	0.993	1	154	124	135040	NA	NA	0	1	154	124	135040	0.993	0.0	1.3	0.0	56.5	2.6	39.6	9	dsDNAphage	linear	UHGV-0018530||full	0.993	dsDNAphage
UHGV-0001715	1	58	223	29667	0.98	0.993	1	58	223	29667	NA	NA	0	1	58	223	29667	0.98	0.0	3.4	0.0	44.8	0.0	51.7	6	dsDNAphage	linear	UHGV-0001715||full	0.98	dsDNAphage
UHGV-0001702	1	55	261	33095	1.0	1.0	1	55	261	33095	NA	NA	0	1	55	261	33095	1.0	0.0	1.8	0.0	50.9	0.0	47.3	5	dsDNAphage	linear	UHGV-0001702||full	1.0	dsDNAphage
UHGV-0000346	1	11	2	7026	0.987	0.987	1	11	2	7026	NA	NA	0	1	11	2	7026	0.987	0.0	0.0	0.0	63.6	0.0	36.4	5	dsDNAphage	linear	UHGV-0000346||full	0.987	dsDNAphage
2014031003_____YNP3_C3059	1	12	116	6194	0.593	0.593	1	12	116	6194	NA	NA	0	1	12	116	6194	0.593	0.0	0.0	0.0	25.0	0.0	75.0	0	dsDNAphage	linear	2014031003_____YNP3_C3059||full	0.593	dsDNAphage
2014031003_____YNP3_C2415	1	22	116	10678	0.94	0.947	1	22	116	10678	NA	NA	0	1	22	116	10678	0.94	0.0	0.0	0.0	81.8	0.0	18.2	6	dsDNAphage	linear	2014031003_____YNP3_C2415||full	0.94	dsDNAphage
2013954001_____YNP14_C558	1	14	163	7163	0.947	0.947	1	14	163	7163	NA	NA	0	1	14	163	7163	0.947	0.0	0.0	0.0	42.9	0.0	57.1	1	dsDNAphage	linear	2013954001_____YNP14_C558||full	0.947	dsDNAphage
2013954001_____YNP14_C4148	1	15	3	8734	0.987	0.987	1	15	3	8734	NA	NA	0	1	15	3	8734	0.987	0.0	0.0	0.0	40.0	0.0	60.0	2	dsDNAphage	linear	2013954001_____YNP14_C4148||full	0.987	dsDNAphage
2013843003_____YNP4_C4540	1	12	3	5951	0.927	0.927	1	12	3	5951	NA	NA	0	1	12	3	5951	0.927	0.0	0.0	0.0	66.7	0.0	33.3	0	dsDNAphage	linear	2013843003_____YNP4_C4540||full	0.927	dsDNAphage
2013843003_____YNP4_C4539	1	18	120	8375	0.993	0.993	1	18	120	8375	NA	NA	0	1	18	120	8375	0.993	0.0	0.0	0.0	44.4	0.0	55.6	1	dsDNAphage	linear	2013843003_____YNP4_C4539||full	0.993	dsDNAphage
2013843002_____DCKB1_C717	3	40	1768	27076	0.873	0.873	2	40	834	27076	NA	NA	0	2	40	834	27076	0.82	0.0	7.7	0.0	53.8	10.3	28.2	0	dsDNAphage	circular	2013843002_____DCKB1_C717||full	0.873	dsDNAphage
2013843002_____DCKB1_C3122	1	13	2	7902	1.0	1.0	1	13	2	7902	NA	NA	0	1	13	2	7902	1.0	0.0	0.0	0.0	38.5	0.0	61.5	1	dsDNAphage	linear	2013843002_____DCKB1_C3122||full	1.0	dsDNAphage
2013843002_____DCKB1_C3067	2	13	759	6529	0.873	0.873	2	13	759	6529	NA	NA	0	2	13	759	6529	0.873	0.0	8.3	0.0	41.7	8.3	41.7	0	dsDNAphage	circular	2013843002_____DCKB1_C3067||full	0.873	dsDNAphage
2013843002_____DCKB1_C2547	1	48	134	26959	1.0	1.0	1	48	134	26959	NA	NA	0	1	48	134	26959	1.0	0.0	4.2	0.0	47.9	2.1	45.8	7	dsDNAphage	circular	2013843002_____DCKB1_C2547||full	1.0	dsDNAphage
2013843002_____DCKB1_C2382	2	96	910	70222	0.773	0.813	2	104	910	82003	NA	NA	0	2	104	910	82003	0.64	0.0	8.0	0.0	60.0	10.0	22.0	0	dsDNAphage	circular	2013843002_____DCKB1_C2382||full	0.773	dsDNAphage
2013843002_____DCKB1_C1454	2	41	745	36079	0.993	0.993	2	41	745	36079	NA	NA	0	2	41	745	36079	0.993	0.0	7.5	0.0	67.5	2.5	22.5	9	dsDNAphage	circular	2013843002_____DCKB1_C1454||full	0.993	dsDNAphage
2013843001_____PLMO_C457	1	13	1	8812	0.987	0.987	1	13	1	8812	NA	NA	0	1	13	1	8812	0.987	0.0	15.4	0.0	61.5	0.0	23.1	5	dsDNAphage	linear	2013843001_____PLMO_C457||full	0.987	dsDNAphage
2013843001_____PLMO_C42	1	9	1	5911	0.987	0.987	1	9	1	5911	NA	NA	0	1	9	1	5911	0.987	0.0	0.0	0.0	77.8	0.0	22.2	5	dsDNAphage	linear	2013843001_____PLMO_C42||full	0.987	dsDNAphage
2013843001_____PLMO_C312	1	20	59	16342	1.0	1.0	1	20	59	16342	NA	NA	0	1	20	59	16342	1.0	0.0	5.0	0.0	35.0	0.0	60.0	1	dsDNAphage	linear	2013843001_____PLMO_C312||full	1.0	dsDNAphage
2013843001_____PLMO_C2782	1	45	148	26713	1.0	1.0	1	45	148	26713	NA	NA	0	1	45	148	26713	1.0	0.0	2.2	0.0	37.8	2.2	57.8	1	dsDNAphage	linear	2013843001_____PLMO_C2782||full	1.0	dsDNAphage
2013843001_____PLMO_C243	1	12	3	10298	0.967	0.967	1	12	3	10298	NA	NA	0	1	12	3	10298	0.967	0.0	0.0	0.0	58.3	25.0	16.7	3	dsDNAphage	linear	2013843001_____PLMO_C243||full	0.967	dsDNAphage
2013843001_____PLMO_C2429	1	68	1	49519	1.0	1.0	1	68	1	49519	NA	NA	0	1	68	1	49519	1.0	0.0	1.5	0.0	55.9	0.0	42.6	9	dsDNAphage	linear	2013843001_____PLMO_C2429||full	1.0	dsDNAphage
2013843001_____PLMO_C2323	1	15	1	10741	0.893	0.893	1	15	1	10741	NA	NA	0	1	15	1	10741	0.893	0.0	0.0	0.0	60.0	0.0	40.0	0	dsDNAphage	linear	2013843001_____PLMO_C2323||full	0.893	dsDNAphage
2013843001_____PLMO_C1550	1	22	199	11657	0.913	0.913	1	22	199	11657	NA	NA	0	1	22	199	11657	0.913	0.0	0.0	0.0	40.9	4.5	54.5	0	dsDNAphage	linear	2013843001_____PLMO_C1550||full	0.913	dsDNAphage
2013843001_____PLMO_C1410	1	17	1	6539	0.96	0.96	1	17	1	6539	NA	NA	0	1	17	1	6539	0.96	0.0	5.9	0.0	23.5	0.0	70.6	0	dsDNAphage	linear	2013843001_____PLMO_C1410||full	0.96	dsDNAphage
2013843001_____PLMO_C1280	1	44	73	23317	0.967	0.973	1	44	73	23317	NA	NA	0	1	44	73	23317	0.967	0.0	4.5	0.0	13.6	0.0	81.8	1	dsDNAphage	linear	2013843001_____PLMO_C1280||full	0.967	dsDNAphage
2013843001_____PLMO_C1011	1	27	335	20428	0.993	0.993	1	27	335	20428	NA	NA	0	1	27	335	20428	0.993	0.0	7.4	0.0	70.4	0.0	22.2	10	dsDNAphage	linear	2013843001_____PLMO_C1011||full	0.993	dsDNAphage
2013843001_____PLMO_C1010	1	11	173	7812	0.98	0.98	1	11	173	7812	NA	NA	0	1	11	173	7812	0.98	0.0	18.2	0.0	54.5	0.0	27.3	4	dsDNAphage	linear	2013843001_____PLMO_C1010||full	0.98	dsDNAphage
2013338002_____MeugFWYF_C6321	1	20	156	13807	0.993	1.0	1	20	156	13807	NA	NA	0	1	20	156	13807	0.993	0.0	0.0	0.0	90.0	0.0	10.0	14	dsDNAphage	circular	2013338002_____MeugFWYF_C6321||full	0.993	dsDNAphage
2013338002_____MeugFWYF_C6159	1	9	27	5269	0.993	0.993	1	9	27	5269	NA	NA	0	1	9	27	5269	0.993	0.0	0.0	0.0	77.8	0.0	22.2	3	dsDNAphage	circular	2013338002_____MeugFWYF_C6159||full	0.993	dsDNAphage
2013338001_____MeugFOFF_C5216	1	6	3	5387	0.993	0.993	1	6	3	5387	NA	NA	0	1	6	3	5387	0.993	0.0	0.0	0.0	66.7	0.0	33.3	1	dsDNAphage	linear	2013338001_____MeugFOFF_C5216||full	0.993	dsDNAphage
2013338001_____MeugFOFF_C4795	1	7	2	5093	1.0	1.0	1	7	2	5093	NA	NA	0	1	7	2	5093	1.0	0.0	0.0	0.0	100.0	0.0	0.0	3	dsDNAphage	linear	2013338001_____MeugFOFF_C4795||full	1.0	dsDNAphage
2013338001_____MeugFOFF_C4295	1	10	3	8894	0.973	0.973	1	10	3	8894	NA	NA	0	1	10	3	8894	0.973	0.0	10.0	0.0	60.0	0.0	30.0	4	dsDNAphage	linear	2013338001_____MeugFOFF_C4295||full	0.973	dsDNAphage
2013338001_____MeugFOFF_C4026	1	11	2	11395	0.98	0.98	1	11	2	11395	NA	NA	0	1	11	2	11395	0.98	0.0	0.0	0.0	45.5	0.0	54.5	3	dsDNAphage	linear	2013338001_____MeugFOFF_C4026||full	0.98	dsDNAphage
2013338001_____MeugFOFF_C3886	1	6	3	5083	0.927	0.927	1	6	3	5083	NA	NA	0	1	6	3	5083	0.927	0.0	16.7	0.0	66.7	0.0	16.7	1	dsDNAphage	linear	2013338001_____MeugFOFF_C3886||full	0.927	dsDNAphage
