Tool	FullRegionID	FullStart0	FullEnd0	FullLengthBp	FragmentPredictionsOverlapping	FragmentPredictionsAtEdge	FragmentUnionCoverageBp	FragmentUnionCoverageFraction	RecoveryClass	FragmentBoundaryCrossings
antiSMASH	salinispora-full::salinispora-chromosome::r1	653312	699168	45856	1	1	20000	0.43614794	Partial 20-<80%	2
antiSMASH	salinispora-full::salinispora-chromosome::r2	736486	779678	43192	1	1	20000	0.46304871	Partial 20-<80%	2
antiSMASH	salinispora-full::salinispora-chromosome::r3	1016172	1030934	14762	1	1	10934	0.74068554	Partial 20-<80%	1
antiSMASH	salinispora-full::salinispora-chromosome::r4	1131284	1181131	49847	1	1	20000	0.40122776	Partial 20-<80%	3
antiSMASH	salinispora-full::salinispora-chromosome::r5	1957836	1980841	23005	1	1	20000	0.86937622	Recovered >=80%	2
antiSMASH	salinispora-full::salinispora-chromosome::r6	2480835	2553375	72540	1	1	20000	0.27570995	Partial 20-<80%	3
antiSMASH	salinispora-full::salinispora-chromosome::r7	2580350	2592255	11905	1	0	11905	1.00000000	Recovered >=80%	0
antiSMASH	salinispora-full::salinispora-chromosome::r8	2630088	2651255	21167	1	1	11255	0.53172391	Partial 20-<80%	1
antiSMASH	salinispora-full::salinispora-chromosome::r9	2694283	2748469	54186	2	2	35525	0.65561215	Partial 20-<80%	3
antiSMASH	salinispora-full::salinispora-chromosome::r10	2773927	2846443	72516	1	1	20000	0.27580120	Partial 20-<80%	4
antiSMASH	salinispora-full::salinispora-chromosome::r11	2852870	2882661	29791	1	1	20000	0.67134369	Partial 20-<80%	2
antiSMASH	salinispora-full::salinispora-chromosome::r12	2960439	3011082	50643	1	1	20000	0.39492131	Partial 20-<80%	2
antiSMASH	salinispora-full::salinispora-chromosome::r13	3011961	3092736	80775	2	2	40000	0.49520272	Partial 20-<80%	4
antiSMASH	salinispora-full::salinispora-chromosome::r14	3097969	3256633	158664	7	7	132515	0.83519261	Recovered >=80%	8
antiSMASH	salinispora-full::salinispora-chromosome::r15	3475061	3525952	50891	2	2	25952	0.50995264	Partial 20-<80%	3
antiSMASH	salinispora-full::salinispora-chromosome::r16	3716937	3737993	21056	1	1	17993	0.85453078	Recovered >=80%	1
antiSMASH	salinispora-full::salinispora-chromosome::r17	4719612	4730572	10960	1	1	10572	0.96459854	Recovered >=80%	1
antiSMASH	salinispora-full::salinispora-chromosome::r18	4811592	4852642	41050	1	1	20000	0.48721072	Partial 20-<80%	2
antiSMASH	salinispora-full::salinispora-chromosome::r19	4978726	5046389	67663	2	2	35767	0.52860500	Partial 20-<80%	4
GECCO	salinispora-full::salinispora-chromosome::salinispora-chromosome_cluster_1	545814	572145	26331	0	0	0	0.00000000	Missed <20%	1
GECCO	salinispora-full::salinispora-chromosome::salinispora-chromosome_cluster_2	661962	690865	28903	1	0	17206	0.59530153	Partial 20-<80%	1
GECCO	salinispora-full::salinispora-chromosome::salinispora-chromosome_cluster_3	745827	781349	35522	2	0	29353	0.82633298	Recovered >=80%	2
GECCO	salinispora-full::salinispora-chromosome::salinispora-chromosome_cluster_4	1140739	1188426	47687	2	2	37991	0.79667415	Partial 20-<80%	2
GECCO	salinispora-full::salinispora-chromosome::salinispora-chromosome_cluster_6	2460552	2529526	68974	3	3	59215	0.85851190	Recovered >=80%	3
GECCO	salinispora-full::salinispora-chromosome::salinispora-chromosome_cluster_7	2575343	2598190	22847	1	0	11885	0.52019959	Partial 20-<80%	1
GECCO	salinispora-full::salinispora-chromosome::salinispora-chromosome_cluster_8	2712802	2744877	32075	1	0	19506	0.60813718	Partial 20-<80%	2
GECCO	salinispora-full::salinispora-chromosome::salinispora-chromosome_cluster_9	2798318	2829050	30732	1	0	19614	0.63822725	Partial 20-<80%	2
GECCO	salinispora-full::salinispora-chromosome::salinispora-chromosome_cluster_10	2864153	2872146	7993	0	0	0	0.00000000	Missed <20%	0
GECCO	salinispora-full::salinispora-chromosome::salinispora-chromosome_cluster_11	2957835	3009304	51469	1	1	19608	0.38096718	Partial 20-<80%	3
GECCO	salinispora-full::salinispora-chromosome::salinispora-chromosome_cluster_12	3015871	3090779	74908	3	1	52210	0.69698831	Partial 20-<80%	4
GECCO	salinispora-full::salinispora-chromosome::salinispora-chromosome_cluster_13	3098751	3261925	163174	7	3	128999	0.79056100	Partial 20-<80%	9
GECCO	salinispora-full::salinispora-chromosome::salinispora-chromosome_cluster_14	3470672	3529395	58723	1	1	19838	0.33782334	Partial 20-<80%	3
GECCO	salinispora-full::salinispora-chromosome::salinispora-chromosome_cluster_15	4703804	4728940	25136	1	0	5082	0.20218014	Partial 20-<80%	1
GECCO	salinispora-full::salinispora-chromosome::salinispora-chromosome_cluster_17	4979791	5036389	56598	3	1	54232	0.95819640	Recovered >=80%	3
