Tip	Type	Study	Country	AlignmentSites	ObservedACGTSites	OccupancyPct
CMD64776337ST-21-0	Metagenome sample	ZellerG_2014	DEU	18027	17386	96.444223
G78505	Metagenome sample	VatanenT_2016	RUS	18027	17951	99.57841
G88884	Metagenome sample	SchirmerM_2016	NLD	18027	17400	96.521884
G88970	Metagenome sample	SchirmerM_2016	NLD	18027	17981	99.744827
G89027	Metagenome sample	SchirmerM_2016	NLD	18027	17967	99.667166
GCA_000209935	Reference genome	Reference	Reference	18027	17979	99.733733
GCA_001404855	Reference genome	Reference	Reference	18027	18003	99.866866
GCA_001405295	Reference genome	Reference	Reference	18027	17382	96.422034
GCA_001406375	Reference genome	Reference	Reference	18027	17967	99.667166
GCA_001406835	Reference genome	Reference	Reference	18027	17359	96.294447
H2M514903	Metagenome sample	LiJ_2017	CHN	18027	17924	99.428635
H3M518116	Metagenome sample	LiJ_2017	CHN	18027	17917	99.389804
HD-1	Metagenome sample	QinN_2014	CHN	18027	17942	99.528485
HD-5	Metagenome sample	QinN_2014	CHN	18027	17934	99.484107
HV-6	Metagenome sample	QinN_2014	CHN	18027	17875	99.15682
LD-48	Metagenome sample	QinN_2014	CHN	18027	17855	99.045876
M1.42.ST	Metagenome sample	BritoIL_2016	FJI	18027	17965	99.656071
M2.48.ST	Metagenome sample	BritoIL_2016	FJI	18027	17961	99.633883
M2.58.ST	Metagenome sample	BritoIL_2016	FJI	18027	17988	99.783658
N021	Metagenome sample	WenC_2017	CHN	18027	17939	99.511843
RA023	Metagenome sample	WenC_2017	CHN	18027	17914	99.373162
S353	Metagenome sample	KarlssonFH_2013	SWE	18027	17559	97.403894
SID530054	Metagenome sample	FengQ_2015	AUT	18027	17570	97.464914
SRS011302	Metagenome sample	HMP_2012	USA	18027	16865	93.554113
SZAXPI003417-4	Metagenome sample	YuJ_2015	CHN	18027	17938	99.506296
T2D-025	Metagenome sample	QinJ_2012	CHN	18027	17909	99.345426
T2D-063	Metagenome sample	QinJ_2012	CHN	18027	17899	99.289954
T2D-105	Metagenome sample	QinJ_2012	CHN	18027	17921	99.411993
W1.27.ST	Metagenome sample	BritoIL_2016	FJI	18027	17887	99.223387
YSZC12003_36795	Metagenome sample	XieH_2016	GBR	18027	17405	96.54962
